Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Location of the Supplier,Clear description of the transaction,VAT Amount AED
01 Invoice,111111111111111,ABC LTD.,I0032997,7/5/2024,8/1/2024,8/31/2024,"1,417.59",WORL,IND,"Air Ticket Expenses
 DOH/BAH/DOH-08 JULY 2024
 GAYTREE DANDEKAR",70.88
01 Invoice,111111111111111,ABC LTD.,I0033000,7/5/2024,8/1/2024,8/31/2024,506.81,WORL,IND,"Hotel Charges
 FAHMI SHARAWI
 AMMAM MARRIOT HOTEL 
 08/07/2024- 09/07/2024",25.34
01 Invoice,111111111111111,ABC LTD.,I0033001,7/5/2024,8/1/2024,8/31/2024,506.81,WORL,IND,"Hotel Charges
 BALA IYER 
 AMMAM MARIOTT HOTEL
 08/07/2024 - 09/07/2024",25.34
01 Invoice,111111111111111,ABC LTD.,I0033007,7/5/2024,8/1/2024,8/31/2024,969.54,WORL,IND,"Air Ticket Expenses
 MAHMOUD AFASH
 RUH JED RUH-11 JULY 2024",48.48
01 Invoice,111111111111111,ABC LTD.,I0033113,7/22/2024,8/1/2024,8/31/2024,"4,014.04",WORL,IND,"Air Ticket Expenses
 AJAY SHARMA
 DXB CAN TYN CSX DXB-23 JULY 2024",200.7
01 Invoice,111111111111111,ABC LTD.,I0033155,7/26/2024,8/1/2024,8/31/2024,837.33,WORL,IND,"Air Ticket Expenses
 BALA IYER 
 DXB RUH DXB-22 SEPT 2024",41.87
01 Invoice,111111111111111,ABC LTD.,I0033183,7/29/2024,8/1/2024,8/31/2024,"1,167.86",WORL,IND,"Hotel Charges
 SAJID KHALID MASOOD
 RAMADA JEDDAH
 05/08/2024 - 08/08/2024",58.39
01 Invoice,111111111111111,ABC LTD.,I0033184,7/29/2024,8/1/2024,8/31/2024,"1,167.86",WORL,IND,"Hotel Charges
 BALA IYER
 RAMADA JEDDAH
 05/08/2024 - 08/08/2024",58.39
01 Invoice,111111111111111,ABC LTD.,I0033185,7/30/2024,8/1/2024,8/31/2024,"2,589.11",WORL,IND,"Hotel Charges
 BALA IYER
 CROWNE PLAZA RIYADH
 22/09/2024 TO 27/09/2024",129.46
01 Invoice,111111111111111,ABC LTD.,I0033192,7/30/2024,8/1/2024,8/31/2024,580.26,WORL,IND,"Air Ticket Expenses
 PRATHAM RASTOGI
 DXB RUH-31 JULY 2024",29.01
01 Invoice,111111111111111,ABC LTD.,I0033250,7/28/2024,8/1/2024,8/31/2024,"1,101.75",WORL,IND,"Air Ticket Expenses
 PRADEEP VASU
 DXB RUH DXB - 29 JULY 2024",55.09
01 Invoice,111111111111111,ABC LTD.,I0033310,8/3/2024,8/1/2024,8/31/2024,506.81,WORL,IND,"Air Ticket Expenses
 PRATHAM RASTOGI
 RUH BOM-21 AUG 2024",25.34
01 Invoice,111111111111111,ABC LTD.,I0033377,8/9/2024,8/1/2024,8/31/2024,881.40,WORL,IND,"Air Ticket Expenses-(E)
 AJAYAKUMAR
 DOHA RIYADH - 09 AUG 2024",44.07
01 Invoice,111111111111111,ABC LTD.,I0033378,8/8/2024,8/1/2024,8/31/2024,"4,407.00",WORL,IND,"Hotel Charges – (E)
 09 AUGUST - 10 NIGHTS 
 AJAYAKUMAR 
 @INTERCITYHOTEL RIYADH MALAZ",220.35
01 Invoice,111111111111111,ABC LTD.,I0033433,8/13/2024,8/1/2024,8/31/2024,"1,307.41",WORL,IND,"Air Ticket Expenses
 GAURAV WALIA
 NIKHIL GARG 
 DXB JED - 19 AUG 2024",65.37
01 Invoice,111111111111111,ABC LTD.,I0033434,8/13/2024,8/1/2024,8/31/2024,"1,123.79",WORL,IND,"Air Ticket Expenses
 GAURAV WALIA
 NIKHIL GARG 
 JED TO DXB-21/08/2024",56.19
01 Invoice,111111111111111,ABC LTD.,I0033574,8/27/2024,8/1/2024,8/31/2024,"2,005.19",WORL,IND,"Air Ticket Expenses
 BALA IYER-DXB JED-27 AUG 2024",100.26
01 Invoice,111111111111111,ABC LTD.,I0033575,8/27/2024,8/1/2024,8/31/2024,"1,711.39",WORL,IND,"Air Ticket Expenses
 BALA IYER JED DXB-28/08/2024",85.57
01 Invoice,111111111111111,ABC LTD.,I0033617,8/30/2024,8/1/2024,8/31/2024,"2,247.57",WORL,IND,"Air Ticket Expenses
 BALA IYER DXB DOHA DXB-01/09/2024",112.38
01 Invoice,111111111111111,ABC LTD.,I0033622,8/30/2024,8/1/2024,8/31/2024,"57,276.31",WORL,IND,"Air Ticket Expenses
 GIRISH CHANDER-DXB JFK DXB-06/10/2024","2,863.82"
01 Invoice,111111111111111,ABC LTD.,I0033623,8/30/2024,8/1/2024,8/31/2024,"13,345.87",WORL,IND,"Air Ticket Expenses
 GIRISH CHANDER-JFK/MIA/MDE/MIA/JFK-07/10/2024",667.29
01 Invoice,111111111111111,ABC LTD.,I0033631,8/30/2024,8/1/2024,8/31/2024,527.11,WORL,IND,"Hotel Charges
 HANY ELSAYED",26.36
01 Invoice,111111111111111,ABC LTD.,I0033632,8/30/2024,8/1/2024,8/31/2024,525.17,WORL,IND,"Hotel Charges
 SAJID KHALID MASOOD",26.26
01 Invoice,111111111111111,ABC LTD.,INV-MHO/069/2425,8/30/2024,8/1/2024,8/31/2024,"9,827.61",ARCE,IND,"Salaries&Wages
 Reimbursement of expenses for month of August 2024",491.38
01 Invoice,111111111111111,ABC LTD.,SMDYN/001/08-2024,8/2/2024,8/1/2024,8/31/2024,"24,789.38",SMDY,IND,"Professional /Consultancy Fees
 Microsoft Dynamics AX 2012 R3 Support Services
 May to July 2024 (for 22.5 person days addl.effort)","1,239.47"
01 Invoice,111111111111111,ABC LTD.,1033453,8/16/2024,8/1/2024,8/31/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- Rahul Sharma - New joiee - dummy ticket,1.84
01 Invoice,111111111111111,ABC LTD.,27082024-12,8/27/2024,8/1/2024,8/31/2024,"5,125.75",TUMA,TUR,OTHER SERVICES CHARGES,256.29
01 Invoice,111111111111111,ABC LTD.,975004354,7/10/2024,8/1/2024,8/31/2024,"151,796.14",LINC,DEU,Erection & Commissioning charges - PO50003885,"7,589.81"
01 Invoice,111111111111111,ABC LTD.,I0033222,8/1/2024,8/1/2024,8/31/2024,980.59,WORL,IND,Air Ticket Expenses-(E)- Rohit Thakur - New joinee,49.03
01 Invoice,111111111111111,ABC LTD.,I0033284,8/2/2024,8/1/2024,8/31/2024,"1,406.57",WORL,IND,Air Ticket Expenses-(E)- Ravindra Chouhan - New joinee,70.33
01 Invoice,111111111111111,ABC LTD.,I0033288,8/2/2024,8/1/2024,8/31/2024,"1,215.60",WORL,IND,Air Ticket Expenses-(E)- Santun Malana - New joinee,60.78
01 Invoice,111111111111111,ABC LTD.,I0033311,8/5/2024,8/1/2024,8/31/2024,224.02,WORL,IND,Air Ticket Expenses-(E) - Bhagirath Mal Dahyal - travel insurance extension,11.2
01 Invoice,111111111111111,ABC LTD.,I0033334,8/6/2024,8/1/2024,8/31/2024,"1,178.87",WORL,IND,Air Ticket Expenses-(E) - Sudarshan Shaoo - New joinee,58.94
01 Invoice,111111111111111,ABC LTD.,I0033355,8/7/2024,8/1/2024,8/31/2024,36.73,WORL,IND,Air Ticket Expenses-(E) - Neelmani - New employee- Dummy ticket,1.84
01 Invoice,111111111111111,ABC LTD.,I0033449,8/3/2024,8/1/2024,8/31/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- Amit Gupta - New Employee - Dummy ticket,1.84
01 Invoice,111111111111111,ABC LTD.,I0033451,8/5/2024,8/1/2024,8/31/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- Amit Kumar Gupta - New joinee- dummy ticket,1.84
01 Invoice,111111111111111,ABC LTD.,I0033454,8/16/2024,8/1/2024,8/31/2024,"1,380.86",WORL,IND,Air Ticket Expenses-(E)- Deepakbhai Surti - New joinee,69.04
01 Invoice,111111111111111,ABC LTD.,I0033485,8/20/2024,8/1/2024,8/31/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- Ravindra Chouhan - New joinee- Dummy ticket,1.84
01 Invoice,111111111111111,ABC LTD.,I0033557,8/25/2024,8/1/2024,8/31/2024,36.73,WORL,IND,Air Ticket Expenses-(E) - Santun Malana- new joinee- dummy ticket,1.84
01 Invoice,111111111111111,ABC LTD.,I0033608,8/29/2024,8/1/2024,8/31/2024,36.73,WORL,IND,Air Ticket Expenses-(E) - Deepak bhai Surti - Dummy ticket,1.84
01 Invoice,111111111111111,ABC LTD.,JSRS-AUG-INV-10152-24,8/19/2024,8/1/2024,8/31/2024,"8,263.13",BUSI,OMN,"Subscription-(E)-JSRS:INTERNATIONAL
 Subscription Type:JSRS Registration Fee
 Pack:Unlimited Products and Services
 Subscription Period: Three Years",413.16
01 Invoice,111111111111111,ABC LTD.,PMS/100127/0059/2024-2025,5/23/2024,8/1/2024,8/31/2024,440.70,RENE,IND,OPERATION EXPENSES,22.04
01 Invoice,111111111111111,ABC LTD.,PMS/100127/0084/2024-2025,6/20/2024,8/1/2024,8/31/2024,440.70,RENE,IND,OPERATION EXPENSES,22.04
01 Invoice,111111111111111,ABC LTD.,PMS/100127/0113/2024-2025,7/18/2024,8/1/2024,8/31/2024,440.70,RENE,IND,OPERATION EXPENSES,22.04
01 Invoice,111111111111111,ABC LTD.,RG2403470,6/14/2024,8/1/2024,8/31/2024,"50,510.59",LUIS,DEU,"SUPPLY, DELIVERY, INSTALLATION, AND TRAINING OF PEDESTRIAN DETECTION SYSTEM FOR HEAVY MACHINERIES
 TOTAL : 10 SETS","2,525.53"
01 Invoice,111111111111111,ABC LTD.,WSIE2425-2008,8/3/2024,8/1/2024,8/31/2024,627.52,GOMA,IND,OTHER SERVICES CHARGES,31.38
