Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice-Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier Name,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,111111111111111,ABC LTD.,1142013124,8/23/2024,8/31/2024,8/1/2024,8/31/2024,74.2,DUBAI BUILDING MATERIALS SUPPLY CENTER L L C,DUBA,10031XXXXX00003,"MS FB 050X06 MMX02.35kg/mx06.0 M S275JR, Oman 
 2PCS- 0.028MT @2650/Ton",3.71,3.71,-
01 Invoice,111111111111111,ABC LTD.,DSI-19300,7/3/2024,8/31/2024,8/1/2024,8/31/2024,524.80,DUKE STEEL TRADING CO L L C,DUKE,10029XXXXX00003,EQUAL ANGLE 090X090X12.00 MMX06.00 M,26.24,26.24,-
01 Invoice,111111111111111,ABC LTD.,37746,7/12/2024,8/31/2024,8/1/2024,8/31/2024,"3,080.00",AL MIQAT HARDWARE TR LLC,AL M,10037XXXXX00003,"SS WOVEN WIRE MESH 1.22X10.00 MMX03.00 MM
 GRADE: 316
 ORIGIN: CHINA",154,154,-
01 Invoice,111111111111111,ABC LTD.,66027,7/15/2024,8/31/2024,8/1/2024,8/31/2024,"1,921.00",GBMT STEEL SERVICES LLC,GBMT,10026XXXXX00003,"HR PLATE 2.00X06.00X06.00 MM
 Gardde: S355J2+N
 Origin: China",96.05,96.05,-
01 Invoice,111111111111111,ABC LTD.,SI-ASIND/24/31980,7/23/2024,8/31/2024,8/1/2024,8/31/2024,"1,043.20",AL SHUROOQ INDUSTRIES L L C,AL S,10034XXXXX00003,"LASER CUTTING OF SS PLATES TO FORM RINGS
 59 rings to be made as per below dimensions:
 
 OD = 501mm
 ID = 325mm",52.16,52.16,-
01 Invoice,111111111111111,ABC LTD.,DSIN210706,8/19/2024,8/31/2024,8/1/2024,8/31/2024,"1,052.00",DAYAL BUILDING MATERIAL TRADERS,DAYA,10029XXXXX00003,EQUAL ANGLE 070X070X07.00 MMX06.0 M,52.6,52.6,-
01 Invoice,111111111111111,ABC LTD.,DSIN210622,8/14/2024,8/31/2024,8/1/2024,8/31/2024,"6,681.60",DAYAL BUILDING MATERIAL TRADERS,DAYA,10029XXXXX00003,"EQUAL ANGLE 090X090X10.00 MMX12.00 M
 3PCS @ 2650/Ton",334.08,334.08,-
01 Invoice,111111111111111,ABC LTD.,DSI-20063,8/16/2024,8/31/2024,8/1/2024,8/31/2024,"4,671.60",DUKE STEEL TRADING CO L L C,DUKE,10029XXXXX00003,PFC 180X090X026.10 KG/MX12.0 M,233.58,233.58,-
01 Invoice,111111111111111,ABC LTD.,SAL60-15153,8/30/2024,8/31/2024,8/1/2024,8/31/2024,"226,332.40",EMBOSAL TUBE MILLS L L C,EMBO,10030XXXXX00003,LSAW 1422.40X35.00 MMX24.00 M,"11,316.62","11,316.62",-
01 Invoice,111111111111111,ABC LTD.,242511658,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"7,000.00",HAWK SECURITY SERVICES LLC,HAWK,10006XXXXX00003,"Security Expenses
 Providing Male Security Guard Services at Jafza , Dubai for the month of August 2024",350,350,-
01 Invoice,111111111111111,ABC LTD.,13-1329655,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"4,160.00",FINE TOOLS TRADING LLC,FINE,10031XXXXX00003,"WHITE WOOD 4"" X 4""",208,208,-
01 Invoice,111111111111111,ABC LTD.,RI 24023066,8/29/2024,8/31/2024,8/1/2024,8/31/2024,"15,000.00",BUREAU VERITAS,BURE,10001XXXXX00003,"Testing-Third Party Inspection carried out at Fabtech Int'l
 INV No.: RI 24023066 Invoice dated 29/8/2024",750,750,-
01 Invoice,111111111111111,ABC LTD.,RI 24023068,8/29/2024,8/31/2024,8/1/2024,8/31/2024,"15,000.00",BUREAU VERITAS,BURE,10001XXXXX00003,"Testing-Third Party Inspection carried out at EBS DIP
 INV No.: RI 24023068 Invoice dated 29/8/2024",750,750,-
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2228,8/21/2024,8/31/2024,8/1/2024,8/31/2024,"4,250.00",AL IKHAA TECHNICAL SERVICES L L C,AL I,10020XXXXX00003,"Office Repairs
 2ND payment against Annual Maintenance Contract for Air Conditioning ,Plumbing,Electrical system and equipment for the period 21/08/2024 to 20/11/2024",212.5,212.5,-
01 Invoice,111111111111111,ABC LTD.,3162,8/28/2024,8/31/2024,8/1/2024,8/31/2024,"5,200.00",FAHAD SHER PASSENGER TRANSPORT BY RENTED BUSES L L C,FAHA,10036XXXXX00003,"Hire Charges - Car
 Rental charges for Operations Staff transportation
 from accomodation to office vice versa
 date: August 2024
 + additional trip on 11/08/2024 Sunday",260,260,-
01 Invoice,111111111111111,ABC LTD.,MHT 2024/314,8/28/2024,8/31/2024,8/1/2024,8/31/2024,"1,000.00",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,"Vehicle maintenance (Heavy)
 DXB29318 
 Fan Belt New,Fuel Filter oil,Labour charges",50,50,-
01 Invoice,111111111111111,ABC LTD.,MHT 2024/316,8/28/2024,8/31/2024,8/1/2024,8/31/2024,500,MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,"Vehicle maintenance (Heavy)
 DXB29318 
 Fan Belt New,Fuel Filter oil,Labour charges Break down charges on road oil change and service",25,25,-
01 Invoice,111111111111111,ABC LTD.,MHT 2024/315,8/28/2024,8/31/2024,8/1/2024,8/31/2024,"2,776.20",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,"Vehicle maintenance (Heavy)
 DXB89286
 Spare parts air filter outer tnovus,inner tnovus,fuel filter,oil filter,spare parts coolant 4LTR green,grease 5KG BPW,Engine oil 20W50 5L,Spare parts seat cover change,full wash and grease,spare parts all wheel grease and liner change and drum polishing,labour change oil change and grease all check",138.81,138.81,-
01 Invoice,111111111111111,ABC LTD.,MHT 2024/313,8/28/2024,8/31/2024,8/1/2024,8/31/2024,855,MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,"Vehicle maintenance (Heavy)
 DXB90559
 Spear parts GI pipe,trai spring booster,Air Hose,Trailer all work labor charges",42.75,42.75,-
01 Invoice,111111111111111,ABC LTD.,KCT-INV-AUG-24-004-0,8/1/2024,8/31/2024,8/1/2024,8/31/2024,"103,603.80",KING CITY TECHNICAL WORKS LLC,KING,10002XXXXX00001,Fabrication/Cutting Charges,"5,180.19","5,180.19",-
01 Invoice,111111111111111,ABC LTD.,42-2024,8/9/2024,8/31/2024,8/1/2024,8/31/2024,"17,237.60",ALSHAHEEN STEEL AND WELDING LLC,ALSH,10048XXXXX00003,"Laser Cutting 15MM
 1970PCS @ 8.75 per unit",861.88,861.88,-
01 Invoice,111111111111111,ABC LTD.,DCG/24/33439,7/31/2024,8/31/2024,8/1/2024,8/31/2024,"44,066.00",DELTA COAT INDUSTRIES LLC,DELT,10003XXXXX00003,Anchor Plate for(HDG)50mm Thick ET-284-240 Nos.x88kg,"2,203.30","2,203.30",-
01 Invoice,111111111111111,ABC LTD.,DCG/24/33502,8/2/2024,8/31/2024,8/1/2024,8/31/2024,"7,854.00",DELTA COAT INDUSTRIES LLC,DELT,10003XXXXX00003,Anchor Plate for(HDG)50mm Thick ET-284-240 Nos.x88kg,392.7,392.7,-
01 Invoice,111111111111111,ABC LTD.,TIL/INV-M0045-240458,8/16/2024,8/31/2024,8/1/2024,8/31/2024,"4,400.00",TRANS ASIA INDUSTRIAL LABORATORIES L L C,TRAN,10053XXXXX00003,Testing Charges,220,220,-
01 Invoice,111111111111111,ABC LTD.,2175649,8/21/2024,8/31/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,"Visa Charges-(E)
 UK Visa-Bala Iyer
 Photos",10,10,-
01 Invoice,111111111111111,ABC LTD.,CI006465,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"8,244.00",LIBERTY STEEL & WELDING L L C,LIBE,10025XXXXX00003,"Temporary Staff Cost
  WELDER
 NOTE**
 MANPOWER ARRANGED FOR KING CITY TEAM FOR CDC PROJECT",412.2,412.2,-
01 Invoice,111111111111111,ABC LTD.,BINLAL-1036-24,8/15/2024,8/31/2024,8/1/2024,8/31/2024,"8,340.00",BINLAL OIL & GAS MECHANICAL WORKS CONTRACTING LLC,BINL,10414XXXXX00003,"Temporary Staff Cost
 MIG WELDER
 NOTE**
 MANPOWER ARRANGED FOR KING CITY TEAM FOR CDC PROJECT",417.00,417,-
01 Invoice,111111111111111,ABC LTD.,25760,8/30/2024,8/31/2024,8/1/2024,8/31/2024,"16,364.40",OMRAN TRANSPORT BY HEAVY TRUCKS LLC,OMRA,10033XXXXX00003,"Hire Charges - Forklift 16 ton
 On Monthly Basis
 Without Fuel
 With Operator-JULY/AUG-2024",818.22,818.22,-
01 Invoice,111111111111111,ABC LTD.,2175614,8/16/2024,8/31/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,"Visa Charges-(E)
 Pradeep Vasu-USA Visa",10,10,-
01 Invoice,111111111111111,ABC LTD.,33229,8/30/2024,8/31/2024,8/1/2024,8/31/2024,300.00,RICH PRINTING PRESS L.L.C,RICH,10000XXXXX00003,"Business Cards
 Gaurav Walia
 Nikhil Garg",15,15,-
01 Invoice,111111111111111,ABC LTD.,31185,8/6/2024,8/31/2024,8/1/2024,8/31/2024,326.00,STAR LINK TRADING CO L L C,STAR,10021XXXXX00003,Stationary,16.3,16.3,-
01 Invoice,111111111111111,ABC LTD.,54284,7/31/2024,8/31/2024,8/1/2024,8/31/2024,"2,602.20",IRON MOUNTAIN RECORDS MANAGEMENT DWC LLC,IRON,10054XXXXX00003,Storage Charges 01/07/2024 to 31/07/2024,130.11,130.11,-
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2229,8/21/2024,8/31/2024,8/1/2024,8/31/2024,380.00,AL IKHAA TECHNICAL SERVICES L L C,AL I,10020XXXXX00003,"AC maintenance
 Workers Room
 Ducted Split AC Outdoor unit fan motor removing, rewinding, bush changing & reinstallation.",19,19,-
01 Invoice,111111111111111,ABC LTD.,1178,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"9,600.00",AMAN EXPRESS PASSENGERS TRANSPORT BY RENTED BUS LLC,AMAN,10043XXXXX00003,"Travel
 Hired charge of the 14 Seat bus with driver for pick up and drop only . Basis on monthly agreed rate 6,600AED monthly .
 For the month of August 2024",480,480,-
01 Invoice,111111111111111,ABC LTD.,23281,8/1/2024,8/31/2024,8/1/2024,8/31/2024,865.40,ASIA BOLTS INDUSTRIES LLC,ASIA,10000XXXXX00003,STUD BOLT WITH 2 HEX NUTS DIN934 CLASS-8&2 FLAT WASHERS DIN125 SLF FNSH M16,43.27,43.27,-
01 Invoice,111111111111111,ABC LTD.,JFN24-48667,8/26/2024,8/31/2024,8/1/2024,8/31/2024,600,MOHD.AL QAMA GENERAL TRADING CO (L.L.C.) Br.,MOHD,10006XXXXX00003,"WHITE WOOD 1"" X 4"" X13 FT AUSTRIA",30,30,-
01 Invoice,111111111111111,ABC LTD.,24/11906,8/2/2024,8/31/2024,8/1/2024,8/31/2024,"3,460.00",INTERNATIONAL TOOLS WELDING SUPPLY L L C,INTE,10003XXXXX00003,"E7018-1H4R (Vacuum Packed) -3.2mm- length 450 mm, 2 kg pkt",173,173,-
01 Invoice,111111111111111,ABC LTD.,93531,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"24,163.00",DOUBLE ENERGY GASES L L C,DOUB,10023XXXXX00003,ACETYLENE 210 CFT,"1,208.15","1,208.15",-
01 Invoice,111111111111111,ABC LTD.,CI006466,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"16,392.00",LIBERTY STEEL & WELDING L L C,LIBE,10025XXXXX00003,"Temporary Staff Cost
 DISTRIBUTION",819.6,819.6,-
01 Invoice,111111111111111,ABC LTD.,CI006466,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"11,994.00",LIBERTY STEEL & WELDING L L C,LIBE,10025XXXXX00003,"Temporary Staff Cost
 DISTRIBUTION",599.7,599.7,-
01 Invoice,111111111111111,ABC LTD.,CI006466,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"16,248.00",LIBERTY STEEL & WELDING L L C,LIBE,10025XXXXX00003,"Temporary Staff Cost
 DISTRIBUTION",812.4,812.4,-
01 Invoice,111111111111111,ABC LTD.,CI006466,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"52,974.00",LIBERTY STEEL & WELDING L L C,LIBE,10025XXXXX00003,"Temporary Staff Cost
 DISTRIBUTION","2,648.70","2,648.70",-
01 Invoice,111111111111111,ABC LTD.,CI006466,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"6,732.00",LIBERTY STEEL & WELDING L L C,LIBE,10025XXXXX00003,"Temporary Staff Cost
 DISTRIBUTION",336.6,336.6,-
01 Invoice,111111111111111,ABC LTD.,24/12002,8/9/2024,8/31/2024,8/1/2024,8/31/2024,"4,800.00",INTERNATIONAL TOOLS WELDING SUPPLY L L C,INTE,10003XXXXX00003,HYPERTHERM 220975 FOR CNC MACHINE,240,240,-
01 Invoice,111111111111111,ABC LTD.,24/12036,8/13/2024,8/31/2024,8/1/2024,8/31/2024,"6,008.60",INTERNATIONAL TOOLS WELDING SUPPLY L L C,INTE,10003XXXXX00003,TIG FILLER WIRE ER80S-NI1,300.43,300.43,-
01 Invoice,111111111111111,ABC LTD.,JFN24-43795,8/3/2024,8/31/2024,8/1/2024,8/31/2024,"2,850.00",MOHD.AL QAMA GENERAL TRADING CO (L.L.C.) Br.,MOHD,10006XXXXX00003,"WHITE WOOD 4"" X 4"" X 13FT AUSTRIA",142.5,142.5,-
01 Invoice,111111111111111,ABC LTD.,JFN24-45336,8/10/2024,8/31/2024,8/1/2024,8/31/2024,"3,480.00",MOHD.AL QAMA GENERAL TRADING CO (L.L.C.) Br.,MOHD,10006XXXXX00003,COMMERCIAL PLYWOOD 04.00X08.00X12.00 MM,174,174,-
01 Invoice,111111111111111,ABC LTD.,INV NO-76621,8/1/2024,8/31/2024,8/1/2024,8/31/2024,"21,000.00",EMTECH COMPUTER CO.LLC,EMTE,10007XXXXX00003,"IT Expenses
 Patch Management
 has increased from 110 to 150 which includes all laptop, servers.","1,050.00","1,050.00",-
01 Invoice,111111111111111,ABC LTD.,DICSI24081091,8/6/2024,8/31/2024,8/1/2024,8/31/2024,"1,393.00",DHOFAR GLOBAL TRADING CO.L.L.C,DHOF,10004XXXXX00003,"Sanitary maintenance
 for OFFICE use",69.65,69.65,-
01 Invoice,111111111111111,ABC LTD.,DICSI24081091,8/6/2024,8/31/2024,8/1/2024,8/31/2024,"1,392.80",DHOFAR GLOBAL TRADING CO.L.L.C,DHOF,10004XXXXX00003,"Sanitary maintenance
 for OFFICE use",69.64,69.64,-
01 Invoice,111111111111111,ABC LTD.,652408600381,8/13/2024,8/31/2024,8/1/2024,8/31/2024,350.00,GULF COMMERCIAL GROUP,GULF,10022XXXXX00003,"Office Expenses
 Black Toner for Finance",17.5,17.5,-
01 Invoice,111111111111111,ABC LTD.,652408600138,8/8/2024,8/31/2024,8/1/2024,8/31/2024,350.00,GULF COMMERCIAL GROUP,GULF,10022XXXXX00003,"Office Expenses
 Black Toner for Logistics",17.5,17.5,-
01 Invoice,111111111111111,ABC LTD.,32838,8/12/2024,8/31/2024,8/1/2024,8/31/2024,"5,200.00",RICH PRINTING PRESS L.L.C,RICH,10000XXXXX00003,Sales Promotion Expenses - Brochure,260,260,-
01 Invoice,111111111111111,ABC LTD.,R00830,8/21/2024,8/31/2024,8/1/2024,8/31/2024,82.60,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Port Handling Expenses,4.13,4.13,-
01 Invoice,111111111111111,ABC LTD.,2024/185,8/31/2024,8/31/2024,8/1/2024,8/31/2024,450.00,MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,Transport Charges,22.5,22.5,-
01 Invoice,111111111111111,ABC LTD.,R00831,8/21/2024,8/31/2024,8/1/2024,8/31/2024,87.60,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Port Handling Expenses,4.38,4.38,-
01 Invoice,111111111111111,ABC LTD.,R00791,8/14/2024,8/31/2024,8/1/2024,8/31/2024,137.40,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Port Handling Expenses,6.87,6.87,-
01 Invoice,111111111111111,ABC LTD.,R00787,8/12/2024,8/31/2024,8/1/2024,8/31/2024,85.60,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Port Handling Expenses,4.28,4.28,-
01 Invoice,111111111111111,ABC LTD.,2024/156,8/5/2024,8/31/2024,8/1/2024,8/31/2024,"4,049.00",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,Transport Charges,202.45,202.45,-
01 Invoice,111111111111111,ABC LTD.,R00810,8/16/2024,8/31/2024,8/1/2024,8/31/2024,82.60,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Port Handling Expenses,4.13,4.13,-
01 Invoice,111111111111111,ABC LTD.,R00816,8/19/2024,8/31/2024,8/1/2024,8/31/2024,90.20,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Port Handling Expenses,4.51,4.51,-
01 Invoice,111111111111111,ABC LTD.,2024/168,8/28/2024,8/31/2024,8/1/2024,8/31/2024,"4,274.20",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,Transport Charges,213.71,213.71,-
01 Invoice,111111111111111,ABC LTD.,2024/178,8/31/2024,8/31/2024,8/1/2024,8/31/2024,940.00,MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,"Transportation
 INV # 2024/178
 EBS DIP TO AMDSTC - 12 MTR
 LIBERIA PROJECT",47,47,-
