Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply,Reason of Out-of-Scope Sales treatment
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MR Tank-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MR Tank-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MR Tank-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MR Tank-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MR Tank-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MR Tank-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000732,9/3/2024,9/1/2024,9/30/2024,"15,087.95",-,AL R,30005XXXXX10003,AMP-SA-0129-REV.01-MR Tank-I,
01 Invoice,111111111111111,ABC LTD.,IN5H0000735,9/4/2024,9/1/2024,9/30/2024,"27,489.80",-,GENE,10035XXXXX00003,Steel from (Bevel chips) pipe edge trimming,
01 Invoice,111111111111111,ABC LTD.,IN20012167,9/4/2024,9/1/2024,9/30/2024,"66,339.30",-,MCDE,XXXXX,"IPE 160X015.80 KG/MX12.00 M
 Item no. 3.1
 Ident no. SSXSBIPE0008022",
01 Invoice,111111111111111,ABC LTD.,IN5H0000736,9/4/2024,9/1/2024,9/30/2024,538.50,-,AL A,10032XXXXX00003,CARTON / PAPER SCRAP,
01 Invoice,111111111111111,ABC LTD.,IN20012167,9/4/2024,9/1/2024,9/30/2024,"18,038.25",-,MCDE,XXXXX,"UPN 200X075X025.30 KG/MX12.00 M
 Item no. 4.1
 Ident no. SSXSCUPN0008038",
01 Invoice,111111111111111,ABC LTD.,IN20012167,9/4/2024,9/1/2024,9/30/2024,"11,223.38",-,MCDE,XXXXX,"MS PLATE 3.05X12.00X10.00 MM
 Item no. 7.1
 Ident no. SSXSPPLT0011040",
01 Invoice,111111111111111,ABC LTD.,IN70001823,9/4/2024,9/1/2024,9/30/2024,"32,897.83",-,ARCE,10030XXXXX00003,HR PLATE 2.04X06.00X15.00 MM,
01 Invoice,111111111111111,ABC LTD.,IN70001823,9/4/2024,9/1/2024,9/30/2024,"13,822.44",-,ARCE,10030XXXXX00003,HR PLATE 1.00X06.00X15.00 MM,
01 Invoice,111111111111111,ABC LTD.,IN5H0000754,9/4/2024,9/1/2024,9/30/2024,"72,996.00",-,EMPO,10038XXXXX00003,CSP 0762.20X09.53 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000754,9/4/2024,9/1/2024,9/30/2024,"12,360.00",-,EMPO,10038XXXXX00003,CSP 0711.20X09.53 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000754,9/4/2024,9/1/2024,9/30/2024,"25,896.00",-,EMPO,10038XXXXX00003,CSP 1117.60X12.70 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000754,9/4/2024,9/1/2024,9/30/2024,"111,240.00",-,EMPO,10038XXXXX00003,CSP 0711.20X09.53 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000758,9/4/2024,9/1/2024,9/30/2024,"146,283.75",-,TROU,10028XXXXX00003,COATED PIPE 1422.40X09.53 MMX12.00 M/T&C GULF,
01 Invoice,111111111111111,ABC LTD.,IN5H0000784,9/5/2024,9/1/2024,9/30/2024,"89,509.77",-,AL R,30054XXXXX10003,SP 323.90X06.35 MM(12.00 INCH),
01 Invoice,111111111111111,ABC LTD.,IN5H0000785,9/5/2024,9/1/2024,9/30/2024,"109,930.01",-,AL R,30054XXXXX10003,SP 168.30X07.11 MM(06.00 INCH),
01 Invoice,111111111111111,ABC LTD.,IN5H0000776,9/5/2024,9/1/2024,9/30/2024,"64,164.56",-,AL R,30054XXXXX10003,SP 323.90X06.35 MM(12.00 INCH),
01 Invoice,111111111111111,ABC LTD.,IN5H0000777,9/5/2024,9/1/2024,9/30/2024,"110,604.24",-,AL R,30054XXXXX10003,SP 168.30X07.11 MM(06.00 INCH),
01 Invoice,111111111111111,ABC LTD.,IN5H0000778,9/5/2024,9/1/2024,9/30/2024,"148,777.93",-,AL R,30054XXXXX10003,SP 168.30X07.11 MM(06.00 INCH),
01 Invoice,111111111111111,ABC LTD.,IN5H0000779,9/5/2024,9/1/2024,9/30/2024,"206,781.32",-,AL R,30054XXXXX10003,SP 219.10X06.35 MM(08.00 INCH),
01 Invoice,111111111111111,ABC LTD.,IN5H0000783,9/5/2024,9/1/2024,9/30/2024,"41,267.63",-,AL R,30054XXXXX10003,CSP 0609.60X07.92 MMX12.00 M/TECTON,
01 Invoice,111111111111111,ABC LTD.,IN20012157,9/5/2024,9/1/2024,9/30/2024,"8,153.06",-,ARCE,10030XXXXX00003,HEB 400X155.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN5H0000781,9/5/2024,9/1/2024,9/30/2024,"62,923.77",-,AL R,30054XXXXX10003,SP 141.30X06.55 MM(05.00 INCH),
01 Invoice,111111111111111,ABC LTD.,IN5H0000780,9/5/2024,9/1/2024,9/30/2024,"168,302.49",-,AL R,30054XXXXX10003,SP 219.10X06.35 MM(08.00 INCH),
01 Invoice,111111111111111,ABC LTD.,IN5H0000782,9/5/2024,9/1/2024,9/30/2024,"59,828.73",-,AL R,30054XXXXX10003,SP 088.90X05.49 MM(03.00 INCH),
01 Invoice,111111111111111,ABC LTD.,IN5H0000759,9/5/2024,9/1/2024,9/30/2024,"146,295.91",-,TROU,10028XXXXX00003,COATED PIPE 1422.40X09.53 MMX12.00 M/T&C GULF,
01 Invoice,111111111111111,ABC LTD.,IN5H0000755,9/5/2024,9/1/2024,9/30/2024,"25,896.00",-,EMPO,10038XXXXX00003,CSP 1117.60X12.70 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000755,9/5/2024,9/1/2024,9/30/2024,"30,900.00",-,EMPO,10038XXXXX00003,CSP 0711.20X09.53 MMX12.000 M/ELLIPS,
01 Invoice,111111111111111,ABC LTD.,IN5H0000739,9/5/2024,9/1/2024,9/30/2024,"374,740.43",-,ALBA,31057XXXXX00003,CSP 0863.00X21.00 MM /ALBAWARDI,
01 Invoice,111111111111111,ABC LTD.,IN20012158,9/5/2024,9/1/2024,9/30/2024,"78,277.89",-,ARCE,10030XXXXX00003,PYLON-BG0067,
01 Invoice,111111111111111,ABC LTD.,IN20012164,9/5/2024,9/1/2024,9/30/2024,"3,423.90",-,ARCE,10030XXXXX00003,FITINGS/BEND/PETROJET,
01 Invoice,111111111111111,ABC LTD.,IN5H0000756,9/6/2024,9/1/2024,9/30/2024,"23,134.50",-,GENE,10035XXXXX00003,Steel from (Bevel chips) Pipe edge trimming,
01 Invoice,111111111111111,ABC LTD.,IN5H0000757,9/6/2024,9/1/2024,9/30/2024,"41,804.40",-,GENE,10035XXXXX00003,Steel from (solid scrap) pipe processing production,
01 Invoice,111111111111111,ABC LTD.,IN20012162,9/6/2024,9/1/2024,9/30/2024,"33,062.90",-,HIAP,10036XXXXX00003,BQ PLATE 2.00X12.00X40.00 MM,
01 Invoice,111111111111111,ABC LTD.,IN20012162,9/6/2024,9/1/2024,9/30/2024,"37,184.80",-,HIAP,10036XXXXX00003,BQ PLATE 2.50X12.00X36.00 MM,
01 Invoice,111111111111111,ABC LTD.,IN20012162,9/6/2024,9/1/2024,9/30/2024,"29,730.30",-,HIAP,10036XXXXX00003,BQ PLATE 2.00X12.00X36.00 MM,
01 Invoice,111111111111111,ABC LTD.,IN70001900,9/6/2024,9/1/2024,9/30/2024,"51,651.28",-,ARCE,10030XXXXX00003,FOOT PLATE - BG0044,
01 Invoice,111111111111111,ABC LTD.,IN70001900,9/6/2024,9/1/2024,9/30/2024,"51,651.28",-,ARCE,10030XXXXX00003,FOOT PLATE - BG0044,
01 Invoice,111111111111111,ABC LTD.,IN70001900,9/6/2024,9/1/2024,9/30/2024,"51,651.28",-,ARCE,10030XXXXX00003,FOOT PLATE - BG0044,
01 Invoice,111111111111111,ABC LTD.,IN5H0000713,9/6/2024,9/1/2024,9/30/2024,"56,125.63",-,ARCE,10030XXXXX00003,CSP 2082.00X25.00 MMX12.00 M/PETROJET,
01 Invoice,111111111111111,ABC LTD.,IN5H0000713,9/6/2024,9/1/2024,9/30/2024,"47,019.69",-,ARCE,10030XXXXX00003,CSP 2073.20X20.62 MMX12.00 M/PETROJET,
01 Invoice,111111111111111,ABC LTD.,IN5H0000760,9/6/2024,9/1/2024,9/30/2024,"146,368.77",-,TROU,10028XXXXX00003,COATED PIPE 1422.40X09.53 MMX12.00 M/T&C GULF,
01 Invoice,111111111111111,ABC LTD.,IN20012163,9/7/2024,9/1/2024,9/30/2024,"37,973.65",-,C.D.,XXXXX,ANCHOR PLATE - ET0284,
01 Invoice,111111111111111,ABC LTD.,IN20012163,9/7/2024,9/1/2024,9/30/2024,"93,171.33",-,C.D.,XXXXX,ANCHOR PLATE - ET0285,
01 Invoice,111111111111111,ABC LTD.,IN20012163,9/7/2024,9/1/2024,9/30/2024,"181,122.56",-,C.D.,XXXXX,FOOT PLATE - BG0044,
01 Invoice,111111111111111,ABC LTD.,IN20012173,9/7/2024,9/1/2024,9/30/2024,"86,303.75",-,C.D.,XXXXX,ANCHOR PLATE - ET0284,
01 Invoice,111111111111111,ABC LTD.,IN20012173,9/7/2024,9/1/2024,9/30/2024,"80,170.68",-,C.D.,XXXXX,ANCHOR PLATE - ET0285,
01 Invoice,111111111111111,ABC LTD.,IN20012173,9/7/2024,9/1/2024,9/30/2024,"90,561.28",-,C.D.,XXXXX,FOOT PLATE - BG0044,
01 Invoice,111111111111111,ABC LTD.,IN5H0000761,9/8/2024,9/1/2024,9/30/2024,"118,474.85",-,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-2/3-VIII,
01 Invoice,111111111111111,ABC LTD.,IN5H0000761,9/8/2024,9/1/2024,9/30/2024,"118,475.40",-,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-2/3-VIII,
01 Invoice,111111111111111,ABC LTD.,IN5H0000761,9/8/2024,9/1/2024,9/30/2024,"10,182.70",-,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS2-2/3-IX,
01 Invoice,111111111111111,ABC LTD.,IN5H0000768,9/8/2024,9/1/2024,9/30/2024,"9,990.60",-,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-2/3-IX,
01 Invoice,111111111111111,ABC LTD.,IN5H0000768,9/8/2024,9/1/2024,9/30/2024,"26,198.77",-,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-3/3-XI,
01 Invoice,111111111111111,ABC LTD.,IN5H0000768,9/8/2024,9/1/2024,9/30/2024,"26,198.77",-,AL R,30005XXXXX10003,AMP-SA-0129-REV 01-MPS1-3/3-XI,
01 Invoice,111111111111111,ABC LTD.,IN5H0000747,9/8/2024,9/1/2024,9/30/2024,"33,011.88",-,ALBA,31057XXXXX00003,CSP 0925.00X21.00 MM /15.00 M/ALBAWARDI,
01 Invoice,111111111111111,ABC LTD.,IN5H0000747,9/8/2024,9/1/2024,9/30/2024,"75,411.12",-,ALBA,31057XXXXX00003,CSP 0925.00X21.00 MM /17.00 M/ALBAWARDI,
01 Invoice,111111111111111,ABC LTD.,IN5H0000747,9/8/2024,9/1/2024,9/30/2024,"102,130.46",-,ALBA,31057XXXXX00003,CSP 0925.00X21.00 MM /22.00 M/ALBAWARDI,
01 Invoice,111111111111111,ABC LTD.,IN5H0000747,9/8/2024,9/1/2024,9/30/2024,"31,228.37",-,ALBA,31057XXXXX00003,CSP 0863.00X21.00 MM /ALBAWARDI,
01 Invoice,111111111111111,ABC LTD.,IN5H0000762,9/9/2024,9/1/2024,9/30/2024,"16,451.20",-,GENE,10035XXXXX00003,Steel (Bevel chips) from Pipe edge trimming,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"8,668.73",-,ARCE,XXXXX,UB 610X305X179.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"12,731.88",-,ARCE,XXXXX,UB 610X229X125.10 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"7,443.06",-,ARCE,XXXXX,UB 356X171X057.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"36,540.48",-,ARCE,XXXXX,UC 203X203X046.10 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"9,149.10",-,ARCE,XXXXX,UC 203X203X046.10 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"7,443.06",-,ARCE,XXXXX,UB 356X171X057.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"4,744.75",-,ARCE,XXXXX,UB 203X102X023.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"4,744.75",-,ARCE,XXXXX,UB 203X102X023.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"2,846.85",-,ARCE,XXXXX,UB 203X102X023.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"35,731.44",-,ARCE,XXXXX,UB 356X171X045.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"2,481.02",-,ARCE,XXXXX,UB 356X171X057.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"7,443.06",-,ARCE,XXXXX,UB 356X171X057.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"7,443.06",-,ARCE,XXXXX,UB 356X171X057.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"25,298.50",-,ARCE,XXXXX,UB 305X165X040.30 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"64,394.96",-,ARCE,XXXXX,UB 356X127X033.10 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"62,212.08",-,ARCE,XXXXX,UB 356X127X033.10 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"161,957.80",-,ARCE,XXXXX,UB 457X191X067.10 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"2,809.02",-,ARCE,XXXXX,UB 254X102X028.30 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012169,9/9/2024,9/1/2024,9/30/2024,"18,726.80",-,ARCE,XXXXX,UB 254X102X028.30 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"7,443.06",-,ARCE,XXXXX,UB 356X171X057.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"4,740.00",-,ARCE,XXXXX,UB 203X102X023.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"3,792.00",-,ARCE,XXXXX,UB 203X102X023.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"10,386.60",-,ARCE,XXXXX,UB 356X171X045.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"10,386.60",-,ARCE,XXXXX,UB 356X171X045.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"56,384.40",-,ARCE,XXXXX,UB 356X171X045.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"17,805.60",-,ARCE,XXXXX,UB 356X171X045.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"23,957.28",-,ARCE,XXXXX,UB 305X165X040.30 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"1,089.73",-,ARCE,XXXXX,UB 356X127X033.10 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"35,961.09",-,ARCE,XXXXX,UB 356X127X033.10 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"19,964.40",-,ARCE,XXXXX,UB 305X165X040.30 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"2,661.92",-,ARCE,XXXXX,UB 305X165X040.30 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"34,674.92",-,ARCE,XXXXX,UB 610X305X179.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"34,674.92",-,ARCE,XXXXX,UB 610X305X179.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"31,719.04",-,ARCE,XXXXX,UB 203X133X030.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"24,422.75",-,ARCE,XXXXX,UB 356X171X051.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"15,215.90",-,ARCE,XXXXX,UB 406X140X046.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012168,9/9/2024,9/1/2024,9/30/2024,"8,668.73",-,ARCE,XXXXX,UB 610X305X179.00 KG/MX11.80 M,
01 Invoice,111111111111111,ABC LTD.,IN20012159,9/9/2024,9/1/2024,9/30/2024,"60,496.84",-,ARCE,10030XXXXX00003,MS PLATE 2.00X12.00X06.00 MM,
01 Invoice,111111111111111,ABC LTD.,IN5H0000803,9/9/2024,9/1/2024,9/30/2024,"146,320.19",-,TROU,10028XXXXX00003,COATED PIPE 1422.40X09.53 MMX12.00 M/T&C GULF,
01 Invoice,111111111111111,ABC LTD.,IN70001904,9/10/2024,9/1/2024,9/30/2024,"52,523.26",-,ARCE,10030XXXXX00003,FOOT PLATE - BG0044,
01 Invoice,111111111111111,ABC LTD.,IN70001904,9/10/2024,9/1/2024,9/30/2024,"52,523.26",-,ARCE,10030XXXXX00003,FOOT PLATE - BG0044,
01 Invoice,111111111111111,ABC LTD.,IN70001904,9/10/2024,9/1/2024,9/30/2024,"20,578.26",-,ARCE,10030XXXXX00003,FOOT PLATE - BG0048,
01 Invoice,111111111111111,ABC LTD.,IN5H0000854,9/10/2024,9/1/2024,9/30/2024,"83,825.00",-,AL R,30054XXXXX10003,SP 114.30X06.02 MM(04.00 INCH)X10.00-12.00 M,
01 Invoice,111111111111111,ABC LTD.,IN20012161,9/10/2024,9/1/2024,9/30/2024,"32,987.50",-,SCRA,10035XXXXX00003,SCRAPPILES-AU20,
01 Invoice,111111111111111,ABC LTD.,IN70001905,9/10/2024,9/1/2024,9/30/2024,"23,250.46",-,ARCE,10030XXXXX00003,SCRAPPILES-AU20,
01 Invoice,111111111111111,ABC LTD.,IN5H0000804,9/10/2024,9/1/2024,9/30/2024,"34,193.88",-,TROU,10028XXXXX00003,COATED PIPE 1422.40X09.53 MMX12.00 M/T&C GULF,
01 Invoice,111111111111111,ABC LTD.,IN5H0000804,9/10/2024,9/1/2024,9/30/2024,"116,485.46",-,TROU,10028XXXXX00003,COATED PIPE 1422.40X09.53 MMX12.00 M/T&C GULF,
