Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Location of the Supplier,Clear description of the transaction,VAT Amount AED
01 Invoice,111111111111111,ABC LTD.,I0033684,9/3/2024,9/1/2024,9/30/2024,727.19,WORL,IND,Air Ticket Expenses-(E)-AMD/SHJ - MITUL MODI,36.36
01 Invoice,111111111111111,ABC LTD.,I0033741,9/9/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - ASHOK SINGH,1.84
01 Invoice,111111111111111,ABC LTD.,I0033742,9/9/2024,9/1/2024,9/30/2024,859.37,WORL,IND,Air Ticket Expenses-(E)- HYD/DXB - Shivraj Singh,42.97
01 Invoice,111111111111111,ABC LTD.,I0033754,9/11/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - MITUL MODI,1.84
01 Invoice,111111111111111,ABC LTD.,I0033800,9/14/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)-DUMMY TICKET - SHIVARAJ,1.84
01 Invoice,111111111111111,ABC LTD.,I0033801,9/16/2024,9/1/2024,9/30/2024,763.88,WORL,IND,Air Ticket Expenses-(E)- Pravin Singh Ramola - BOM/SHJ,38.19
01 Invoice,111111111111111,ABC LTD.,I0033802,9/16/2024,9/1/2024,9/30/2024,763.88,WORL,IND,Air Ticket Expenses-(E)- NAWAB KHAN - BOM/SHJ,38.19
01 Invoice,111111111111111,ABC LTD.,I0033803,9/16/2024,9/1/2024,9/30/2024,958.52,WORL,IND,Air Ticket Expenses-(E)- Abhishek Sant Mishra - VNS/SHJ,47.93
01 Invoice,111111111111111,ABC LTD.,I0033812,9/17/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- Abhishek - Dummy ticket,1.84
01 Invoice,111111111111111,ABC LTD.,I0033813,9/17/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - PRAVIN SOBAN RAMOLA,1.84
01 Invoice,111111111111111,ABC LTD.,I0033814,9/17/2024,9/1/2024,9/30/2024,36.73,WORL,IND,Air Ticket Expenses-(E)- DUMMY TICKET - NAWAB AMIR,1.84
01 Invoice,111111111111111,ABC LTD.,PMS/100127/0135/2025,8/18/2024,9/1/2024,9/30/2024,440.70,RENE,IND,OPERATION EXPENSES,22.04
02 Credit Note,111111111111111,ABC LTD.,C0032060,7/3/2024,9/1/2024,9/30/2024,"-5,143.48",WORL,BEL,"Air Ticket Expenses
 CREDIT NOTE
 REF PO20017494 
 GIRISH CHANDER
 ROHIT KURIYAN
 DXB AMM DXB -08 JUL 2024",-257.17
