Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,111111111111111,ABC LTD.,240530029,5/21/2024,5/30/2024,5/1/2024,5/31/2024,"56,787.06",ASSE,10028XXXXX00003,Raw Materials,"2,839.36","2,839.36",-
01 Invoice,111111111111111,ABC LTD.,240530031,5/21/2024,5/30/2024,5/1/2024,5/31/2024,"54,779.01",ASSE,10028XXXXX00003,Raw Materials,"2,738.91","2,738.91",-
01 Invoice,111111111111111,ABC LTD.,GSA-A007-240135,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"53,224.88",CLOU,10006XXXXX00003,OTHER SERVICES CHARGES,"2,661.24","2,661.24",-
01 Invoice,111111111111111,ABC LTD.,240530045,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"51,478.86",ASSE,10028XXXXX00003,Raw Materials,"2,573.95","2,573.95",-
01 Invoice,111111111111111,ABC LTD.,STM/0113/2024,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"50,305.20",STAR,10022XXXXX00003,TEMPORARY STAFF - HELPER MAY 2024-,"2,515.26","2,515.26",-
01 Invoice,111111111111111,ABC LTD.,6610141458,28/05/2024,5/31/2024,5/1/2024,5/31/2024,"48,095.00",Shar,10039XXXXX00003,5GJ-SEWA-ELECTRICITY & WATER PAYMENT FOR THE MONTH OF MAY'24-6610141458,"2,404.75","2,404.75",-
01 Invoice,111111111111111,ABC LTD.,240530046,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"46,745.53",ASSE,10028XXXXX00003,Raw Materials,"2,337.29","2,337.29",-
01 Invoice,111111111111111,ABC LTD.,240530031,5/21/2024,5/30/2024,5/1/2024,5/31/2024,"46,383.68",ASSE,10028XXXXX00003,Raw Materials,"2,319.15","2,319.15",-
01 Invoice,111111111111111,ABC LTD.,RI 24011425,5/9/2024,5/17/2024,5/1/2024,5/31/2024,"45,576.92",BURE,10001XXXXX00003,"Testing-Third Party Inspection carried out at Assent
 INV No.: RI 24011425 Invoice dated 09/5/2024","2,278.85","2,278.85",-
01 Invoice,111111111111111,ABC LTD.,240530058,5/28/2024,5/30/2024,5/1/2024,5/31/2024,"42,007.78",ASSE,10028XXXXX00003,SUPPLY STEEL DECK PER SPECIFICATION,"2,100.38","2,100.38",-
01 Invoice,111111111111111,ABC LTD.,2229429495,28/05/2024,5/31/2024,5/1/2024,5/31/2024,"40,220.00",Shar,10039XXXXX00003,5GJ-SEWA-ELECTRICITY & WATER PAYMENT FOR THE MONTH OF MAY'24-2229429495,"2,011.00","2,011.00",-
01 Invoice,111111111111111,ABC LTD.,AMT 05-2307-2024,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"36,000.00",AL M,10037XXXXX00003,100MT CRANE- MONTHLY,"1,800.00","1,800.00",-
01 Invoice,111111111111111,ABC LTD.,2024/097,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"34,860.00",MOVE,10411XXXXX00003,"Transportation
 Transportation Charges from ASSENT DIC to AMDSTC 
 INV# 2024/097
 LIBERIA SHIPMENT","1,743.00","1,743.00",-
01 Invoice,111111111111111,ABC LTD.,SI240166,5/10/2024,5/31/2024,5/1/2024,5/31/2024,"33,080.85",OOSC,10025XXXXX00003,Coating Charges,"1,654.04","1,654.04",-
01 Invoice,111111111111111,ABC LTD.,JAKTC-TIN-2024-0025,18/05/2024,5/21/2024,5/1/2024,5/31/2024,"33,000.00",JESS,10038XXXXX00003,5HVP1-10% PAYMENT TO AL JESSR FOR ELECTRICAL WORK PO50004764,"1,650.00","1,650.00",-
01 Invoice,111111111111111,ABC LTD.,70405,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"32,550.00",PROF,10056XXXXX00003,TEMPORARY STAFF - Security Guards - 7nos - May '24,"1,627.50","1,627.50",-
01 Invoice,111111111111111,ABC LTD.,22141,5/23/2024,5/30/2024,5/1/2024,5/31/2024,"31,444.79",ASIA,10000XXXXX00003,Consumables,"1,572.34","1,572.34",-
01 Invoice,111111111111111,ABC LTD.,0324040994 / 0295,4/30/2024,5/1/2024,5/1/2024,5/31/2024,"30,379.60",BNP,10004XXXXX00003,2GJ-BANK VAT CHARGES FOR THE MONTH OF APR'24 (BNP),"1,518.98","1,518.98",-
01 Invoice,111111111111111,ABC LTD.,240530045,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"30,080.64",ASSE,10028XXXXX00003,Raw Materials,"1,504.04","1,504.04",-
01 Invoice,111111111111111,ABC LTD.,240530031,5/21/2024,5/30/2024,5/1/2024,5/31/2024,"29,336.19",ASSE,10028XXXXX00003,Raw Materials,"1,466.80","1,466.80",-
01 Invoice,111111111111111,ABC LTD.,CCI-47398,5/9/2024,5/23/2024,5/1/2024,5/31/2024,"29,000.00",ZAKH,10004XXXXX00003,COPPER ARMOURED CABLE 185 SQM X 4 CORE,"1,450.00","1,450.00",-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"28,980.43",ASIA,10000XXXXX00003,Consumables,"1,448.98","1,448.98",-
01 Invoice,111111111111111,ABC LTD.,AST-AJM-02238,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"28,500.00",ARAB,10058XXXXX00003,Transportation,"1,425.00","1,425.00",-
01 Invoice,111111111111111,ABC LTD.,AST-AJM-02237,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"28,500.00",ARAB,10058XXXXX00003,Transportation,"1,425.00","1,425.00",-
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2107,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"27,450.00",AL I,10020XXXXX00003,REPAIR & MAINTENANCE,"1,372.50","1,372.50",-
01 Invoice,111111111111111,ABC LTD.,240530055,5/27/2024,5/30/2024,5/1/2024,5/31/2024,"26,531.02",ASSE,10028XXXXX00003,DTIWASHER,"1,326.54","1,326.54",-
01 Invoice,111111111111111,ABC LTD.,MFTC#1057,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"26,367.00",MOHD,10006XXXXX00003,TEMPORARY STAFF - HELPER- MAY 2024,"1,318.35","1,318.35",-
01 Invoice,111111111111111,ABC LTD.,2443064486,28/05/2024,5/31/2024,5/1/2024,5/31/2024,"26,045.00",Shar,10039XXXXX00003,5GJ-SEWA-ELECTRICITY & WATER PAYMENT FOR THE MONTH OF MAY'24-2443064486,"1,302.25","1,302.25",-
01 Invoice,111111111111111,ABC LTD.,240530032,5/21/2024,5/30/2024,5/1/2024,5/31/2024,"26,025.65",ASSE,10028XXXXX00003,PLATES,"1,301.24","1,301.24",-
01 Invoice,111111111111111,ABC LTD.,2180-32-000004331,4/29/2024,5/14/2024,5/1/2024,5/31/2024,"25,000.00",ENSU,10024XXXXX00003,"Capital Equipment
 HP Server Intel Xeon Gold 6430","1,250.00","1,250.00",-
01 Invoice,111111111111111,ABC LTD.,62/MAY/AMDF/24,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"24,555.00",AL S,10058XXXXX00003,TEMPORARY STAFF - QC HELPER-MAY 2024,"1,227.75","1,227.75",-
01 Invoice,111111111111111,ABC LTD.,INV_AME_202401333,5/13/2024,5/23/2024,5/1/2024,5/31/2024,"22,348.47",ADEC,10029XXXXX00003,"Salaries&Wages - April 2024
 Business Development Executive","1,117.42","1,117.42",-
01 Invoice,111111111111111,ABC LTD.,4552267896,28/05/2024,5/31/2024,5/1/2024,5/31/2024,"22,087.29",Shar,10039XXXXX00003,5GJ-SEWA-ELECTRICITY & WATER PAYMENT FOR THE MONTH OF MAY'24-4552267896,"1,104.36","1,104.36",-
01 Invoice,111111111111111,ABC LTD.,240530046,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"21,583.28",ASSE,10028XXXXX00003,Raw Materials,"1,079.16","1,079.16",-
01 Invoice,111111111111111,ABC LTD.,AE1420424ATIR000055/ 1757 / 2360 / 2138 / 2073,4/30/2024,5/1/2024,5/1/2024,5/31/2024,"21,296.60",STAN,10026XXXXX00003,2GJ-BANK VAT CHARGES FOR THE MONTH OF APR'24 (SCB),"1,064.83","1,064.83",-
01 Invoice,111111111111111,ABC LTD.,2024/084,5/13/2024,5/28/2024,5/1/2024,5/31/2024,"21,150.00",MOVE,10411XXXXX00003,Transport Charges,"1,057.50","1,057.50",-
01 Invoice,111111111111111,ABC LTD.,240530031,5/21/2024,5/30/2024,5/1/2024,5/31/2024,"20,372.72",ASSE,10028XXXXX00003,Raw Materials,"1,018.64","1,018.64",-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"20,347.49",ASIA,10000XXXXX00003,Consumables,"1,017.39","1,017.39",-
01 Invoice,111111111111111,ABC LTD.,240530045,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"20,249.06",ASSE,10028XXXXX00003,Raw Materials,"1,012.47","1,012.47",-
01 Invoice,111111111111111,ABC LTD.,240138,5/27/2024,5/31/2024,5/1/2024,5/31/2024,"20,000.00",RHMC,10421XXXXX00003,"Professional /Consultancy Fees 
 Towards Professional Service
 Fees for VAT Health Checkup","1,000.00","1,000.00",-
01 Invoice,111111111111111,ABC LTD.,AMT 05-2307-2024,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"20,000.00",AL M,10037XXXXX00003,50MT CRANE- MONTHLY,"1,000.00","1,000.00",-
01 Invoice,111111111111111,ABC LTD.,21998,5/2/2024,5/31/2024,5/1/2024,5/31/2024,"18,005.00",ELCO,10000XXXXX00003,SALT CONTAMINATION METER,900.25,900.25,-
01 Invoice,111111111111111,ABC LTD.,MFTC#1057,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"17,901.00",MOHD,10006XXXXX00003,TEMPORARY STAFF - GRINDER - MAY 2024,895.05,895.05,-
01 Invoice,111111111111111,ABC LTD.,71,5/5/2024,5/30/2024,5/1/2024,5/31/2024,"17,850.00",SAAD,10403XXXXX00003,ELECTRICAL TRENCH CIVIL WORK - SUBSTATION 3 TO INDUCTION TRANSFORMER ROOM,892.5,892.5,-
01 Invoice,111111111111111,ABC LTD.,22172,5/25/2024,5/30/2024,5/1/2024,5/31/2024,"17,260.09",ASIA,10000XXXXX00003,Consumables,862.74,862.74,-
01 Invoice,111111111111111,ABC LTD.,22141,5/23/2024,5/30/2024,5/1/2024,5/31/2024,"17,200.34",ASIA,10000XXXXX00003,Consumables,860.03,860.03,-
01 Invoice,111111111111111,ABC LTD.,CI006212/2,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"15,966.00",LIBE,10025XXXXX00003,"Temporary Staff Cost
 OPERATION",798.3,798.3,-
01 Invoice,111111111111111,ABC LTD.,2024/033,2/29/2024,5/31/2024,5/1/2024,5/31/2024,"15,950.00",MOVE,10411XXXXX00003,Transportation SHEET PILES - 12 MTR TRAILERS (HFZ TO JAFZA),797.5,797.5,-
01 Invoice,111111111111111,ABC LTD.,2024/033,2/29/2024,5/31/2024,5/1/2024,5/31/2024,"15,925.00",MOVE,10411XXXXX00003,Transportation sHEET PILES - 18 MTR TRAILERS (HFZ TO JAFZA),796.25,796.25,-
01 Invoice,111111111111111,ABC LTD.,GSA-A007-240113,5/10/2024,5/14/2024,5/1/2024,5/31/2024,"15,890.00",CLOU,10006XXXXX00003,Rental charges January 2024,794.5,794.5,-
01 Invoice,111111111111111,ABC LTD.,100045091049,5/20/2024,5/27/2024,5/1/2024,5/31/2024,"15,888.60",Duba,10002XXXXX00003,"2GJ-ELECTRICITY 11/04/24-10/05/24(10,146.52)",794.43,794.43,-
01 Invoice,111111111111111,ABC LTD.,240530045,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"15,848.05",ASSE,10028XXXXX00003,Raw Materials,792.42,792.42,-
01 Invoice,111111111111111,ABC LTD.,240530028,5/21/2024,5/30/2024,5/1/2024,5/31/2024,"15,807.54",ASSE,10028XXXXX00003,Raw Materials,790.4,790.4,-
01 Invoice,111111111111111,ABC LTD.,FIL/DU/IN/132400331,5/27/2024,5/30/2024,5/1/2024,5/31/2024,"15,680.29",FABT,10020XXXXX00003,MACHINE MATERIAL HINGES,783.93,783.93,-
01 Invoice,111111111111111,ABC LTD.,MFTC#1057,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"15,675.00",MOHD,10006XXXXX00003,TEMPORARY STAFF - FITTER -MAY 2024,783.75,783.75,-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"15,413.48",ASIA,10000XXXXX00003,Consumables,770.67,770.67,-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"15,240.88",ASIA,10000XXXXX00003,Consumables,762.04,762.04,-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"15,054.31",ASIA,10000XXXXX00003,Consumables,752.72,752.72,-
01 Invoice,111111111111111,ABC LTD.,RI 24011423,5/9/2024,5/31/2024,5/1/2024,5/31/2024,"15,000.00",BURE,10001XXXXX00003,TPI-RESIDENT INSPECTORS-HF,750,750,-
01 Invoice,111111111111111,ABC LTD.,52349,5/15/2024,5/31/2024,5/1/2024,5/31/2024,"14,322.30",CLEA,10033XXXXX00003,SPINNER BLAST ROTO BLAST INT PIPE BLASTING 8.26 ''-36'' CENTRING CARRIAGE,716.12,716.12,-
01 Invoice,111111111111111,ABC LTD.,22141,5/23/2024,5/30/2024,5/1/2024,5/31/2024,"13,759.57",ASIA,10000XXXXX00003,Consumables,687.97,687.97,-
01 Invoice,111111111111111,ABC LTD.,52111,5/3/2024,5/31/2024,5/1/2024,5/31/2024,"13,592.00",CLEA,10033XXXXX00003,HYDRAULIC PART SET 3.6:1 PART NO 1100,679.6,679.6,-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"13,500.00",ASIA,10000XXXXX00003,Consumables,675.01,675.01,-
01 Invoice,111111111111111,ABC LTD.,RI 24011420,5/9/2024,5/17/2024,5/1/2024,5/31/2024,"13,384.62",BURE,10001XXXXX00003,"Testing-Third Party Inspection carried out at Fabtech Int'l
 INV No.: RI 24011420 Invoice dated 09/5/2024",669.24,669.24,-
01 Invoice,111111111111111,ABC LTD.,INV1907600912,5/1/2024,5/25/2024,5/1/2024,5/31/2024,"12,909.00",Emir,10002XXXXX00003,Telephone Expenses for APRIL 2024 DIGITAL PREMIUM INTERNET 900104125151,645.45,645.45,-
01 Invoice,111111111111111,ABC LTD.,3169,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"12,061.50",SEA,10035XXXXX00003,TEMPORARY STAFF - HELPER - MAY 2024,603.08,603.08,-
01 Invoice,111111111111111,ABC LTD.,72,5/6/2024,5/31/2024,5/1/2024,5/31/2024,"12,000.00",SAAD,10403XXXXX00003,REPAIR & MAINTENANCE,600,600,-
01 Invoice,111111111111111,ABC LTD.,2024/089,5/29/2024,5/31/2024,5/1/2024,5/31/2024,"11,520.00",MOVE,10411XXXXX00003,Transportation,576,576,-
01 Invoice,111111111111111,ABC LTD.,2024/089,5/29/2024,5/31/2024,5/1/2024,5/31/2024,"11,520.00",MOVE,10411XXXXX00003,Transportation,576,576,-
01 Invoice,111111111111111,ABC LTD.,AST-AJM-02226,5/29/2024,5/31/2024,5/1/2024,5/31/2024,"11,400.00",ARAB,10058XXXXX00003,Transportation,570,570,-
01 Invoice,111111111111111,ABC LTD.,22141,5/23/2024,5/30/2024,5/1/2024,5/31/2024,"11,307.33",ASIA,10000XXXXX00003,Consumables,565.38,565.38,-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"10,720.76",ASIA,10000XXXXX00003,Consumables,536.04,536.04,-
01 Invoice,111111111111111,ABC LTD.,DEPDN/4/24/100079,4/18/2024,5/21/2024,5/1/2024,5/31/2024,"10,622.28",NATI,10038XXXXX00003,"Medical Insurance - 
 - Anil Jatav
 - Rajukumar Singh
 - Baban Kumar Yadav
 - Shahadat Ali
 - Ram Babu Yadav
 - Pradeep Kumar",531.12,531.12,-
01 Invoice,111111111111111,ABC LTD.,2024/167,5/1/2024,5/31/2024,5/1/2024,5/31/2024,"10,518.00",AL A,10035XXXXX00003,"SN Description (Spares required for 80 Ton Crawler crane ) 
 Qty. Unit
 1 WINCH DISC  1 NOS
 2 FLOATING SEAL  2 NOS
 3 GEAR WITH BEARING 1 NOS
 4 WINCH DRUM REPAIR KIT 1 NOS
 5 GEAR WITH BEARING 1 NOS
 6 BEARING 1 NOS
 7 BEARING 1 NOS
 8 BEARING 1 NOS
 9 SPACER 1 NOS
 10 BEARING 1 NOS
 11 FOOT BRAKE VALVE 1 NOS
 12 PULLEY 2 NOS
 13 WIPER MOTOR 1 NOS
 14 WIPER BLADE W/OUT ARM 1 NOS
 15 WIPER BLADE ARM 1 NOS
 16 CYLINDER ROD 2 NOS
 17 CYLINDER SEAL KIT 2 SET
 18 WINCH MOTOR SEAL KIT 1 SET
 19 CONTROL VALVE KIT 1 SET
 20 BEARING LOCK 1 NOS",525.9,525.9,-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"10,515.10",ASIA,10000XXXXX00003,Consumables,525.76,525.76,-
01 Invoice,111111111111111,ABC LTD.,240530046,5/22/2024,5/30/2024,5/1/2024,5/31/2024,"10,400.52",ASSE,10028XXXXX00003,Raw Materials,520.03,520.03,-
01 Invoice,111111111111111,ABC LTD.,CAFU/INV-4066/2024,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"10,352.60",CAFU,10054XXXXX00003,Fuel- Heavy Vehicle/Forklift,517.63,517.63,-
01 Invoice,111111111111111,ABC LTD.,62/MAY/AMDF/24,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"10,047.00",AL S,10058XXXXX00003,TEMPORARY STAFF- WELDER- MAY 2024,502.35,502.35,-
01 Invoice,111111111111111,ABC LTD.,INV-22580,5/8/2024,5/31/2024,5/1/2024,5/31/2024,"10,000.00",QADR,10020XXXXX00003,"Hire Charges - Forklift10 TON
 MONTHLY CHARGES",500,500,-
01 Invoice,111111111111111,ABC LTD.,AST-AJM-02198,5/24/2024,5/31/2024,5/1/2024,5/31/2024,"9,800.00",ARAB,10058XXXXX00003,Transportation charges 18 MTR TRAILERS (sheet piles from AM HAFZA TO AMDSTC JAFZA),490,490,-
01 Invoice,111111111111111,ABC LTD.,CD8624012836,5/25/2024,5/31/2024,5/1/2024,5/31/2024,"9,772.00",JOTU,10005XXXXX00003,EPOXY J-PIPE AC-1003 50S GREEN,488.6,488.6,-
01 Invoice,111111111111111,ABC LTD.,8377466,5/21/2024,5/31/2024,5/1/2024,5/31/2024,"9,671.20",BEEA,10000XXXXX00003,"Disposal Charges -1.1 CBM Min. Billing
 9 - CBM C&I (BA) Min. Billing
 Dispo. Charges (Ton)
 Bin Rent ( Per Month)
 
 18 CBM -Hazardous ( Polypropylene, epoxy power & welding flux) 
 
 FEB -23",483.56,483.56,-
01 Invoice,111111111111111,ABC LTD.,MHT 2024/306,5/16/2024,5/20/2024,5/1/2024,5/31/2024,"9,432.16",MOVE,10411XXXXX00003,"Vehicle maintenance (Heavy)
 Vehicle maintenance (Heavy)
 DXB 89261
 Spare parts bill cylinder liner 8 cyl
 Air Filter/piston ring/Gasket/oil filter
 Air compressor 
 Petrol Engine clean 
 Full Wash Truck
 Full Engine Repair/Complete repair AC work 
 Labour Charges 
 Engine oil Disel",471.61,471.61,-
01 Invoice,111111111111111,ABC LTD.,22141,5/23/2024,5/30/2024,5/1/2024,5/31/2024,"9,157.08",ASIA,10000XXXXX00003,Consumables,457.85,457.85,-
01 Invoice,111111111111111,ABC LTD.,62/MAY/AMDF/24,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"9,030.00",AL S,10058XXXXX00003,TEMPORARY STAFF-EOT OPERATOR-MAY 2024,451.5,451.5,-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"8,952.09",ASIA,10000XXXXX00003,Consumables,447.6,447.6,-
01 Invoice,111111111111111,ABC LTD.,22159,5/24/2024,5/30/2024,5/1/2024,5/31/2024,"8,865.42",ASIA,10000XXXXX00003,Consumables,443.27,443.27,-
01 Invoice,111111111111111,ABC LTD.,MBM/24/283,5/8/2024,5/31/2024,5/1/2024,5/31/2024,"8,820.00",AL M,10026XXXXX00003,COPPER FLEXIBLE WIRE 25 SQM X 4 CORE,441,441,-
01 Invoice,111111111111111,ABC LTD.,1497,5/29/2024,5/31/2024,5/1/2024,5/31/2024,"8,800.00",AL I,10056XXXXX00003,Rental Charges- 30 seat from UAQ to Hamriyah- 2 round trips,440,440,-
01 Invoice,111111111111111,ABC LTD.,1497,5/29/2024,5/31/2024,5/1/2024,5/31/2024,"8,500.00",AL I,10056XXXXX00003,Rental Charges- 22 seat from Ajman to Hamriyah- 2 round trips,425,425,-
01 Invoice,111111111111111,ABC LTD.,7720,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"8,400.00",EXPR,10036XXXXX00003,Office Cleaning&Maintenance - MAY'24 Cleaning staff.,420,420,-
01 Invoice,111111111111111,ABC LTD.,20244716,5/1/2024,5/31/2024,5/1/2024,5/31/2024,"8,359.00",RIGH,10052XXXXX00003,FLAT JET NOZZLE NF 20 P/NO-1010090,417.95,417.95,-
01 Invoice,111111111111111,ABC LTD.,CI006212/2,5/31/2024,5/31/2024,5/1/2024,5/31/2024,"8,298.00",LIBE,10025XXXXX00003,"Temporary Staff Cost
 ONG",414.9,414.9,-
01 Invoice,111111111111111,ABC LTD.,22141,5/23/2024,5/30/2024,5/1/2024,5/31/2024,"8,186.77",ASIA,10000XXXXX00003,Consumables,409.34,409.34,-
