Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier TRN,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,1.11111E+14,ABC LTD.,FIL-DU/IN/132400372,6/8/2024,6/29/2024,6/1/2024,6/30/2024,"9,328.20",FABT,1.00209E+14,10020XXXXX00003,FABTEC/LIBERIA CHARGES,466.41,466.41,
01 Invoice,1.11111E+14,ABC LTD.,FIL-DU/IN/132400365,6/7/2024,6/29/2024,6/1/2024,6/30/2024,"3,130,138.60",FABT,1.00209E+14,10020XXXXX00003,"FABTEC/LIBERIA CHARGES
 against FIL-DU/IN-132400365
 261,157.80 KGS","156,506.93","156,506.93",
01 Invoice,1.11111E+14,ABC LTD.,FIL-DU/IN/132400403,6/26/2024,6/29/2024,6/1/2024,6/30/2024,"386,774.40",FABT,1.00209E+14,10020XXXXX00003,"FABTEC/LIBERIA CHARGES
 Invoice FIL-DU/IN-132400403
 32,595.00 Kgs","19,338.72","19,338.72",
01 Invoice,1.11111E+14,ABC LTD.,FIL-DU/IN/132400387,6/24/2024,6/29/2024,6/1/2024,6/30/2024,"308,490.00",FABT,1.00209E+14,10020XXXXX00003,"Fabrication Of Stair Tower And Pipe Supports For Sl Tank
 Inv132400387","15,424.50","15,424.50",
01 Invoice,1.11111E+14,ABC LTD.,FIL-DU/IN/132400387,6/24/2024,6/29/2024,6/1/2024,6/30/2024,"190,435.20",FABT,1.00209E+14,10020XXXXX00003,"Fabrication Of Stair Tower And Pipe Supports For Sl Tank
 Inv132400387","9,521.76","9,521.76",
01 Invoice,1.11111E+14,ABC LTD.,FIL-DU/IN/132400340,5/30/2024,6/29/2024,6/1/2024,6/30/2024,"38,928.60",FABT,1.00209E+14,10020XXXXX00003,FABTEC/LIBERIA CHARGES,"1,946.43","1,946.43",
01 Invoice,1.11111E+14,ABC LTD.,240630033,6/14/2024,6/29/2024,6/1/2024,6/30/2024,"508,116.80",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,"25,405.84","25,405.84",
01 Invoice,1.11111E+14,ABC LTD.,240630016,6/10/2024,6/29/2024,6/1/2024,6/30/2024,"903,851.40",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,"45,192.57","45,192.57",
01 Invoice,1.11111E+14,ABC LTD.,240630028,6/14/2024,6/29/2024,6/1/2024,6/30/2024,"25,555.40",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,"1,277.77","1,277.77",
01 Invoice,1.11111E+14,ABC LTD.,240630026,6/14/2024,6/29/2024,6/1/2024,6/30/2024,"867,971.20",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,"43,398.56","43,398.56",
01 Invoice,1.11111E+14,ABC LTD.,240630034,6/14/2024,6/29/2024,6/1/2024,6/30/2024,"30,342.20",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,"1,517.11","1,517.11",
01 Invoice,1.11111E+14,ABC LTD.,240630031,6/14/2024,6/29/2024,6/1/2024,6/30/2024,"20,898.80",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,"1,044.94","1,044.94",
01 Invoice,1.11111E+14,ABC LTD.,240630029,6/14/2024,6/29/2024,6/1/2024,6/30/2024,"136,038.20",ASSE,1.00284E+14,10028XXXXX00003,BOLTS - HIGH STRENGTH ASTM A325,"6,801.91","6,801.91",
01 Invoice,1.11111E+14,ABC LTD.,240630027,6/14/2024,6/29/2024,6/1/2024,6/30/2024,"4,115.40",ASSE,1.00284E+14,10028XXXXX00003,BOLTS - HIGH STRENGTH ASTM A325,205.77,205.77,
01 Invoice,1.11111E+14,ABC LTD.,240630021,6/11/2024,6/29/2024,6/1/2024,6/30/2024,"4,750.60",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,237.53,237.53,
01 Invoice,1.11111E+14,ABC LTD.,240630020,6/11/2024,6/29/2024,6/1/2024,6/30/2024,"1,000.20",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,50.01,50.01,
01 Invoice,1.11111E+14,ABC LTD.,240630019,6/11/2024,6/29/2024,6/1/2024,6/30/2024,"28,929.80",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,"1,446.49","1,446.49",
01 Invoice,1.11111E+14,ABC LTD.,240630015,6/10/2024,6/29/2024,6/1/2024,6/30/2024,"19,720.00",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,986,986,
01 Invoice,1.11111E+14,ABC LTD.,240630014,6/10/2024,6/29/2024,6/1/2024,6/30/2024,"1,372,458.00",ASSE,1.00284E+14,10028XXXXX00003,Fabrication of Steel Structures.,"68,622.90","68,622.90",
01 Invoice,1.11111E+14,ABC LTD.,240630032,6/14/2024,6/29/2024,6/1/2024,6/30/2024,"27,600.40",ASSE,1.00284E+14,10028XXXXX00003,PTFE SLIDING BEARING - SS316l,"1,380.02","1,380.02",
01 Invoice,1.11111E+14,ABC LTD.,R00586,6/24/2024,6/29/2024,6/1/2024,6/30/2024,82.6,PARA,1.00375E+14,10037XXXXX00003,Port Handling Expenses,4.13,4.13,
01 Invoice,1.11111E+14,ABC LTD.,IBX2414005,6/11/2024,6/30/2024,6/1/2024,6/30/2024,150,IBX,1.00578E+14,10057XXXXX00003,"Documentation Charges fron JAFZA to HAFZA 
 INV # IBX2414005",7.5,7.5,
01 Invoice,1.11111E+14,ABC LTD.,IBX2414091,6/20/2024,6/30/2024,6/1/2024,6/30/2024,150,IBX,1.00578E+14,10057XXXXX00003,"Documentation Charges fron JAFZA to HAFZA 
 INV # IBX2414091",7.5,7.5,
01 Invoice,1.11111E+14,ABC LTD.,2180-32-000004504/4350/4485,6/12/2024,6/30/2024,6/1/2024,6/30/2024,"84,295.00",ENSU,1.00245E+14,10024XXXXX00003,"Capital Equipment
 Huawei network switch","4,214.75","4,214.75",
01 Invoice,1.11111E+14,ABC LTD.,MHT 2024/309,6/20/2024,6/30/2024,6/1/2024,6/30/2024,"25,200.00",MOVE,1.04113E+14,10411XXXXX00003,"1200R24/20PR
 GODRIDE 2024 
 10 PCS-88986-DXB
 10-PCS-90559-DXB
 04-PCS-89261-DXB","1,260.00","1,260.00",
01 Invoice,1.11111E+14,ABC LTD.,MHT 2024/311,6/24/2024,6/30/2024,6/1/2024,6/30/2024,"8,400.00",MOVE,1.04113E+14,10411XXXXX00003,"1200R24/20PR
 GODRIDE 2024 
 08-PCS-89261-DXB",420,420,
01 Invoice,1.11111E+14,ABC LTD.,27398,6/24/2024,6/30/2024,6/1/2024,6/30/2024,150,STAR,1.00216E+14,10021XXXXX00003,"Stationary
 PHOTOCOPY A3",7.5,7.5,
01 Invoice,1.11111E+14,ABC LTD.,27229,6/21/2024,6/30/2024,6/1/2024,6/30/2024,38,STAR,1.00216E+14,10021XXXXX00003,"Stationary
 ENVELOPE",1.9,1.9,
01 Invoice,1.11111E+14,ABC LTD.,31387,6/3/2024,6/30/2024,6/1/2024,6/30/2024,150,RICH,1.00004E+14,10000XXXXX00003,"Business Cards
 Pratham Rastogi",7.5,7.5,
01 Invoice,1.11111E+14,ABC LTD.,9728-PJIN-003181,6/6/2024,6/30/2024,6/1/2024,6/30/2024,"3,100.00",A G,1.0025E+14,10024XXXXX00003,"TEMPORARY STAFF
 Providing temporary Office Boy
 01/05/2024 TO 31/05/2024
 Ishwor Bishwakarma",155,155,
01 Invoice,1.11111E+14,ABC LTD.,11245033266,6/6/2024,6/30/2024,6/1/2024,6/30/2024,"6,800.00",IMDA,1.00237E+14,10023XXXXX00003,"Sewage Tanker Service
 TSE Water Supply -Treated Sewage Effluent Water Tanker Service Charge 5,000 GAL
 05/01/24 TO 05/31/24",340,340,
01 Invoice,1.11111E+14,ABC LTD.,11245035000,6/4/2024,6/30/2024,6/1/2024,6/30/2024,"2,520.00",IMDA,1.00237E+14,10023XXXXX00003,"Sewage Tanker Service
 6 CBM Skip - General Waste
 (01-05-2024 to 31-05-2024)",126,126,
01 Invoice,1.11111E+14,ABC LTD.,11245035063,6/4/2024,6/30/2024,6/1/2024,6/30/2024,685.6,IMDA,1.00237E+14,10023XXXXX00003,"Sewage Tanker Service
 Clear 4.5 CBM Trolley Bin - General Waste
 (01/05/2024 - 31/05/2024)",34.28,34.28,
01 Invoice,1.11111E+14,ABC LTD.,2175269,6/12/2024,6/30/2024,6/1/2024,6/30/2024,200,DIRE,1.00352E+14,10035XXXXX00003,"Visa Charges-(E)
 Luxembourg Visa - Sunil MV",10,10,
01 Invoice,1.11111E+14,ABC LTD.,2175252,6/10/2024,6/30/2024,6/1/2024,6/30/2024,200,DIRE,1.00352E+14,10035XXXXX00003,"Rebillable – (E)
 Luxembourg Visa - Hitesh Sahani",10,10,
01 Invoice,1.11111E+14,ABC LTD.,26844,6/14/2024,6/30/2024,6/1/2024,6/30/2024,433,STAR,1.00216E+14,10021XXXXX00003,Stationary,21.65,21.65,
01 Invoice,1.11111E+14,ABC LTD.,1168,6/25/2024,6/30/2024,6/1/2024,6/30/2024,"9,850.00",AMAN,1.00435E+14,10043XXXXX00003,"Travel
 Hired charge of the 14 Seat bus with driver for pick up and drop only . Basis on monthly agreed rate 6,600AED monthly .
 For the month of June 2024",492.5,492.5,
01 Invoice,1.11111E+14,ABC LTD.,MHT 2024/310,6/24/2024,6/30/2024,6/1/2024,6/30/2024,"9,000.00",MOVE,1.04113E+14,10411XXXXX00003,"Vehicle maintenance (Heavy)
 TRAILER EXTENTION - 90559 DXB",450,450,
01 Invoice,1.11111E+14,ABC LTD.,R00498,6/4/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,Port Handling Expenses,3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00574,6/20/2024,6/30/2024,6/1/2024,6/30/2024,9.8,PARA,1.00375E+14,10037XXXXX00003,"Rebillable – (E)
 CHARGES TO BE BACK CHARGED TO GOOD VIBES 
 AMOUNT CAN BE REDUCED FROM THEIR PAYMENT
 INV : R00574",0.49,0.49,
01 Invoice,1.11111E+14,ABC LTD.,DICSI24061236,6/7/2024,6/30/2024,6/1/2024,6/30/2024,400,DHOF,1.0004E+14,10004XXXXX00003,Sanitary maintenance,20,20,
01 Invoice,1.11111E+14,ABC LTD.,686346,6/6/2024,6/30/2024,6/1/2024,6/30/2024,88,GRAN,1.00248E+14,10024XXXXX00003,"Stationary
 lOGITECH WIRELESS KEYBOARD+MOUSE FOR MR. GIRISH",4.4,4.4,
01 Invoice,1.11111E+14,ABC LTD.,AIK/INV/2116,6/6/2024,6/30/2024,6/1/2024,6/30/2024,"2,780.00",AL I,1.00201E+14,10020XXXXX00003,"Office Cleaning&Maintenance
 SCOPE OF WORK
 Main Office Gent’s & Ladies washroom defective light removing & fixing new led light (Cool White 20 watts) with proper fittings.
 Main Office - Supply of Rheem Brand thermostat (24 & 220v) for Ducted Split AC.
 Office area defective 60x60 panel light (Cool White) removing & fixing new with proper fittings.
 Main office Ladies handicapped washroom defective flushing system removing & fixing new with proper fittings.",139,139,
01 Invoice,1.11111E+14,ABC LTD.,9728-PJIN-003182,6/6/2024,6/30/2024,6/1/2024,6/30/2024,"4,402.00",A G,1.0025E+14,10024XXXXX00003,"Office Cleaning&Maintenance
 PROVIDED 9 JANITORS FOR PART TIME CLEANING SERVICES
 SERVICE PERIOD FROM 01/05/2024 TO 31/05/2024",220.1,220.1,
01 Invoice,1.11111E+14,ABC LTD.,167,6/19/2024,6/30/2024,6/1/2024,6/30/2024,"5,200.00",META,1.0056E+14,10056XXXXX00003,"Salaries&Wages - Finance Admin 
 (1st June - 26th June 2024)",260,260,
01 Invoice,1.11111E+14,ABC LTD.,MHT 2024/308,6/11/2024,6/30/2024,6/1/2024,6/30/2024,"1,253.00",MOVE,1.04113E+14,10411XXXXX00003,"Vehicle maintenance (Heavy)
 Vehicle no. 88986 DXB",62.65,62.65,
01 Invoice,1.11111E+14,ABC LTD.,2024/104,6/28/2024,6/30/2024,6/1/2024,6/30/2024,"5,266.80",MOVE,1.04113E+14,10411XXXXX00003,Transport Charges,263.34,263.34,
01 Invoice,1.11111E+14,ABC LTD.,DT/24-06-105,6/30/2024,6/30/2024,6/1/2024,6/30/2024,330,BEST,1.00333E+14,10033XXXXX00003,Charpy impact test,16.5,16.5,
01 Invoice,1.11111E+14,ABC LTD.,DT/24-06-104,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"1,260.00",BEST,1.00333E+14,10033XXXXX00003,Mechanical Test,63,63,
01 Invoice,1.11111E+14,ABC LTD.,AIK/INV/2115,6/6/2024,6/30/2024,6/1/2024,6/30/2024,630,AL I,1.00201E+14,10020XXXXX00003,"AC maintenance
 LV Room
 Ductable Split AC Indoor unit fan motor removing, rewinding, bush changing & reinstallation.",31.5,31.5,
01 Invoice,1.11111E+14,ABC LTD.,89464,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"15,711.00",DOUB,1.00231E+14,10023XXXXX00003,ACETYLENE 210 CFT,785.55,785.55,
01 Invoice,1.11111E+14,ABC LTD.,14560,6/13/2024,6/30/2024,6/1/2024,6/30/2024,760,ABCL,1.00235E+14,10023XXXXX00003,"Testing
 RETRACTABLE FALL ARRESTOR- INSPECTION AND CERTIFICATION",38,38,
01 Invoice,1.11111E+14,ABC LTD.,111868,6/14/2024,6/30/2024,6/1/2024,6/30/2024,"2,320.00",ARIE,1.00503E+14,10050XXXXX00003,CALIBRATION AND CERTIFICATION OF WELDING MACHINES,116,116,
01 Invoice,1.11111E+14,ABC LTD.,INV-14561,6/12/2024,6/30/2024,6/1/2024,6/30/2024,600,ABCL,1.00235E+14,10023XXXXX00003,LOTO TRAINING,30,30,
01 Invoice,1.11111E+14,ABC LTD.,NT/24-06-524,6/20/2024,6/30/2024,6/1/2024,6/30/2024,"11,426.00",BEST,1.00333E+14,10033XXXXX00003,"Testing
 MPI CREW CHARGES",571.3,571.3,
01 Invoice,1.11111E+14,ABC LTD.,JFN24-34075,6/21/2024,6/30/2024,6/1/2024,6/30/2024,"1,450.00",MOHD,1.00064E+14,10006XXXXX00003,Commercial Plywood 4x8x12mm,72.5,72.5,
01 Invoice,1.11111E+14,ABC LTD.,202400154,6/29/2024,6/30/2024,6/1/2024,6/30/2024,"12,718.00",LOOT,1.00031E+14,10003XXXXX00003,"12-2012AA-Wire rope 12mm, 2160 N/mm² MBL: 101",635.9,635.9,
01 Invoice,1.11111E+14,ABC LTD.,106036,6/28/2024,6/30/2024,6/1/2024,6/30/2024,"5,000.00",DANL,1.00003E+14,10000XXXXX00003,"Repair, Calibration and 1 Year AMC
 Weighing Scale - AMDSTC",250,250,
01 Invoice,1.11111E+14,ABC LTD.,INV-14563,6/13/2024,6/30/2024,6/1/2024,6/30/2024,"2,200.00",ABCL,1.00235E+14,10023XXXXX00003,"INSPECTION OF EOT CRANE PLATFORM 
 AED100@9",110,110,
01 Invoice,1.11111E+14,ABC LTD.,JNF24-34685,6/25/2024,6/30/2024,6/1/2024,6/30/2024,"1,900.00",MOHD,1.00064E+14,10006XXXXX00003,Cargo lashing belt-2”x10mtr-100 pcs,95,95,
01 Invoice,1.11111E+14,ABC LTD.,EEC-1402-24,6/1/2024,6/30/2024,6/1/2024,6/30/2024,"9,778.00",ETMA,1.00326E+14,10032XXXXX10003,TIG WELDER,488.9,488.9,
01 Invoice,1.11111E+14,ABC LTD.,BINLAL-1031-24,6/1/2024,6/30/2024,6/1/2024,6/30/2024,"1,776.00",BINL,1.04142E+14,10414XXXXX00003,"Temporary Staff Cost
 MUTI WELDER",88.8,88.8,
01 Invoice,1.11111E+14,ABC LTD.,BINLAL-1024-24,6/1/2024,6/30/2024,6/1/2024,6/30/2024,"3,678.00",BINL,1.04142E+14,10414XXXXX00003,"Temporary Staff Cost
 Temporary Staff Cost
 MULTI WELDER",183.9,183.9,
01 Invoice,1.11111E+14,ABC LTD.,INV24-ITBS-3007,6/26/2024,6/30/2024,6/1/2024,6/30/2024,"8,412.00",ICON,1.00002E+14,10000XXXXX00003,"IT Expenses
 APEXSQL AUDIT PER INSTANCE 24X7 TERM LICENSE/MAINT",420.6,420.6,
01 Invoice,1.11111E+14,ABC LTD.,DCT-02/000781,6/12/2024,6/30/2024,6/1/2024,6/30/2024,"17,745.00",DC T,1.00002E+14,10000XXXXX00003,"IT Expenses
 Ekran Terminal Server Enterprise Edition for 1 year subscription",887.25,887.25,
01 Invoice,1.11111E+14,ABC LTD.,2180-32-000004491,6/7/2024,6/30/2024,6/1/2024,6/30/2024,"6,930.00",ENSU,1.00245E+14,10024XXXXX00003,"IT Expenses-(E)
 IPhone 15 GB TRA for Sir Girish Chandra",346.5,346.5,
01 Invoice,1.11111E+14,ABC LTD.,INV/SSF/2024/03294,6/5/2024,6/30/2024,6/1/2024,6/30/2024,569.2,STEI,1.00001E+14,10000XXXXX00003,"""Storage fees for7.78 tons, 4 coils for 5 days
 (7.78 tons x 5 days x AED 0.5/day) = 19.45
 Inwarehouse Container Charges = 300
 Lashing & Dunnage Charges for Stuffing=250
 Total = 569.45""",28.46,28.46,
01 Invoice,1.11111E+14,ABC LTD.,INV/SSF/2024/03793,6/28/2024,6/30/2024,6/1/2024,6/30/2024,"2,029.60",STEI,1.00001E+14,10000XXXXX00003,"""Storage fees for 142.935 tons for May 2024 
 (135.155 tons x 30 days x AED 0.5/day)= AED 2029.59
 """,101.48,101.48,
01 Invoice,1.11111E+14,ABC LTD.,RI 24014056,6/5/2024,6/30/2024,6/1/2024,6/30/2024,"31,666.60",BURE,1.00012E+14,10001XXXXX00003,"Testing-Third Party Inspection carried out at Assent
 INV No.: RI 24014056 Invoice dated 05/6/2024","1,583.33","1,583.33",
01 Invoice,1.11111E+14,ABC LTD.,RI 24014054,6/5/2024,6/30/2024,6/1/2024,6/30/2024,"15,000.00",BURE,1.00012E+14,10001XXXXX00003,"Testing-Third Party Inspection carried out at Fabtech Int'l
 INV No.: RI 24014054 Invoice dated 05/6/2024",750,750,
01 Invoice,1.11111E+14,ABC LTD.,242511201,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"7,000.00",HAWK,1.00064E+14,10006XXXXX00003,"Security Expenses
 Providing Male Security Guard Services at Jafza , Dubai for the month of June 2024",350,350,
01 Invoice,1.11111E+14,ABC LTD.,2180-32-000004585,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"2,740.00",ENSU,1.00245E+14,10024XXXXX00003,"Capital Equipment
 Laptop - HP PROBOOK 440-G10 i7-1355U 32GB 
 Spare",137,137,
01 Invoice,1.11111E+14,ABC LTD.,2180-32-000004585,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"7,500.00",ENSU,1.00245E+14,10024XXXXX00003,"Capital Equipment
 Laptop - HP PROBOOK 440-G10 i7-1355U 32GB 
 Spare",375,375,
01 Invoice,1.11111E+14,ABC LTD.,2180-32-000004585,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"2,740.00",ENSU,1.00245E+14,10024XXXXX00003,"Capital Equipment
 Laptop - HP PROBOOK 440-G10 i7-1355U 32GB 
 Spare",137,137,
01 Invoice,1.11111E+14,ABC LTD.,2180-32-000004585,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"4,055.00",ENSU,1.00245E+14,10024XXXXX00003,"Capital Equipment
 Laptop - HP PROBOOK 440-G10 i7-1355U 32GB 
 Spare",202.75,202.75,
01 Invoice,1.11111E+14,ABC LTD.,2175310,6/26/2024,6/30/2024,6/1/2024,6/30/2024,200,DIRE,1.00352E+14,10035XXXXX00003,"Visa Charges-(E)
 Turkey visa Rolly Fernandes",10,10,
01 Invoice,1.11111E+14,ABC LTD.,13270259,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"5,095.80",OASI,1.00025E+14,10002XXXXX00003,"Office Cleaning&Maintenance
 JUNE 2024-5 GLN",254.79,254.79,
01 Invoice,1.11111E+14,ABC LTD.,53782,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"2,142.40",IRON,1.00545E+14,10054XXXXX00003,"Stoage Charges
 STORAGE: 01/06/2024 through 30/06/2024",107.12,107.12,
01 Invoice,1.11111E+14,ABC LTD.,SAL60-14667,5/23/2024,6/30/2024,6/1/2024,6/30/2024,"96,264.00",EMBO,1.00309E+14,10030XXXXX00003,LSAW 1320.80X30.00 MMX24.00 M,"4,813.20","4,813.20",
01 Invoice,1.11111E+14,ABC LTD.,SAL60-14668,5/23/2024,6/30/2024,6/1/2024,6/30/2024,"96,264.00",EMBO,1.00309E+14,10030XXXXX00003,LSAW 1320.80X30.00 MMX24.00 M,"4,813.20","4,813.20",
01 Invoice,1.11111E+14,ABC LTD.,SAL60-14706,5/30/2024,6/30/2024,6/1/2024,6/30/2024,"84,231.00",EMBO,1.00309E+14,10030XXXXX00003,LSAW 1320.80X30.00 MMX21.00 M,"4,211.55","4,211.55",
01 Invoice,1.11111E+14,ABC LTD.,SAL60-14709,5/30/2024,6/30/2024,6/1/2024,6/30/2024,"84,231.00",EMBO,1.00309E+14,10030XXXXX00003,LSAW 1320.80X30.00 MMX21.00 M,"4,211.55","4,211.55",
01 Invoice,1.11111E+14,ABC LTD.,SAL60-14666,5/23/2024,6/30/2024,6/1/2024,6/30/2024,"90,636.00",EMBO,1.00309E+14,10030XXXXX00003,LSAW 1320.80X30.00 MMX11.30 M,"4,531.80","4,531.80",
01 Invoice,1.11111E+14,ABC LTD.,SAL60-14771,6/7/2024,6/30/2024,6/1/2024,6/30/2024,"104,286.00",EMBO,1.00309E+14,10030XXXXX00003,LSAW 1320.80X30.00 MMX26.00 M,"5,214.30","5,214.30",
01 Invoice,1.11111E+14,ABC LTD.,SAL60-14772,6/7/2024,6/30/2024,6/1/2024,6/30/2024,"104,286.00",EMBO,1.00309E+14,10030XXXXX00003,LSAW 1320.80X30.00 MMX26.00 M,"5,214.30","5,214.30",
01 Invoice,1.11111E+14,ABC LTD.,SAL60-14826,6/24/2024,6/30/2024,6/1/2024,6/30/2024,"8,061.60",EMBO,1.00309E+14,10030XXXXX00003,"Cutting of Coil: details Heat # R20261, Batch #PD9724
 Thick 15MM X2MM Width
 Cut to lenght: 12 meter",403.08,403.08,
01 Invoice,1.11111E+14,ABC LTD.,25309,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"1,788.40",OMRA,1.00333E+14,10033XXXXX00003,"Hire Charges - Forklift 16 TON 
 MONTHLY RENT",89.42,89.42,
01 Invoice,1.11111E+14,ABC LTD.,25309,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"16,930.60",OMRA,1.00333E+14,10033XXXXX00003,"Hire Charges - Forklift 16 TON 
 MONTHLY RENT",846.53,846.53,
01 Invoice,1.11111E+14,ABC LTD.,192224,5/31/2024,6/30/2024,6/1/2024,6/30/2024,"96,417.00",TEE,1.00031E+14,10003XXXXX00003,"HEB 260X093.00 KG/MX12.00 M - S355J2/BAHRAIN, AED 3200/TON","4,820.85","4,820.85",
01 Invoice,1.11111E+14,ABC LTD.,65281,6/3/2024,6/30/2024,6/1/2024,6/30/2024,"33,483.80",GBMT,1.00268E+14,10026XXXXX00003,"HEB 260X093.00 KG/MX12.00 M
 S355J2/BAHRAIN, AED 3750/TON","1,674.19","1,674.19",
01 Invoice,1.11111E+14,ABC LTD.,030_24/06/2024,6/24/2024,6/30/2024,6/1/2024,6/30/2024,"165,360.00",POLY,1.00018E+14,10001XXXXX00003,FREE SLIDING POT BEARING UPTO 10500 KN,"8,268.00","8,268.00",
01 Invoice,1.11111E+14,ABC LTD.,12527,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"3,780.00",SAIN,1.00392E+14,10039XXXXX00003,"Transportation
 Transportation Charges from JAFZA to RAK & RAK to JAFZA
 Sent the Coils for cutting 
 SO20011867 - ASSENT STEEL INDUSTRIES L.L.C",189,189,
01 Invoice,1.11111E+14,ABC LTD.,R00605,6/26/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges Against L/P
 LIBERIA PROJECT 
 INV#R00605",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00604,6/26/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges Against L/P
 LIBERIA PROJECT 
 INV#R00604",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00614,6/28/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against Sheet Piles 
 HFZA to JAFZA 
 INV#R00614",3.75,3.75,
