Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,111111111111111,ABC LTD.,13-1329155,7/9/2024,7/9/2024,7/1/2024,7/31/2024,"1,950.00",FINE,10031XXXXX00003,7' ANGULAR GRINDER M/C,97.5,97.5,
01 Invoice,111111111111111,ABC LTD.,13-1329168,7/10/2024,7/10/2024,7/1/2024,7/31/2024,320,FINE,10031XXXXX00003,TCT ANNULAR CUTTER MACSTROC 36 X 55MM [MTT.36L],16,16,
01 Invoice,111111111111111,ABC LTD.,13-1329168,7/10/2024,7/10/2024,7/1/2024,7/31/2024,220,FINE,10031XXXXX00003,TCT ANNULAR CUTTER MACSTROC 50 X 55MM [MTT.50L],11,11,
01 Invoice,111111111111111,ABC LTD.,13-1329226,7/17/2024,7/17/2024,7/1/2024,7/31/2024,"2,800.00",FINE,10031XXXXX00003,ANTI SPATTER SPRAY FOR WELDING PURPOSE,140,140,
01 Invoice,111111111111111,ABC LTD.,13-1329226,7/17/2024,7/17/2024,7/1/2024,7/31/2024,"1,305.00",FINE,10031XXXXX00003,RR CABLE 2.5X4 CORE,65.25,65.25,
01 Invoice,111111111111111,ABC LTD.,13-1329226,7/17/2024,7/17/2024,7/1/2024,7/31/2024,120,FINE,10031XXXXX00003,CARPENTER HAMMER,6,6,
01 Invoice,111111111111111,ABC LTD.,13-1329226,7/17/2024,7/17/2024,7/1/2024,7/31/2024,"3,260.00",FINE,10031XXXXX00003,WELDING EARTH CABLE 70MM,163,163,
01 Invoice,111111111111111,ABC LTD.,13-1329226,7/17/2024,7/17/2024,7/1/2024,7/31/2024,"1,005.00",FINE,10031XXXXX00003,RR CABLE 2.5X3 CORE,50.25,50.25,
01 Invoice,111111111111111,ABC LTD.,13-1329226,7/17/2024,7/17/2024,7/1/2024,7/31/2024,950,FINE,10031XXXXX00003,FACE CAP AS PR PICTURE,47.5,47.5,
01 Invoice,111111111111111,ABC LTD.,13-1329292,7/24/2024,7/24/2024,7/1/2024,7/31/2024,"2,070.00",FINE,10031XXXXX00003,"CARGO LASHING BELT 2""X10M",103.5,103.5,
01 Invoice,111111111111111,ABC LTD.,13617016,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"4,594.80",OASI,10002XXXXX00003,"Office Cleaning&Maintenance
 5GLN",229.74,229.74,
01 Invoice,111111111111111,ABC LTD.,13617016,7/31/2024,7/31/2024,7/1/2024,7/31/2024,485.8,OASI,10002XXXXX00003,"Office Cleaning&Maintenance
 330 ML",24.29,24.29,
01 Invoice,111111111111111,ABC LTD.,13617016,7/31/2024,7/31/2024,7/1/2024,7/31/2024,715.2,OASI,10002XXXXX00003,"Office Cleaning&Maintenance
 CUPS",35.76,35.76,
01 Invoice,111111111111111,ABC LTD.,2024/125,7/8/2024,7/8/2024,7/1/2024,7/31/2024,700,MOVE,10411XXXXX00003,"Transportation
 Transportation Charges from Sajja to Hamriyah 
 INV#2024/125",35,35,
01 Invoice,111111111111111,ABC LTD.,2024/129,7/10/2024,7/10/2024,7/1/2024,7/31/2024,"3,056.40",MOVE,10411XXXXX00003,Transport Charges,152.82,152.82,
01 Invoice,111111111111111,ABC LTD.,2024/130,7/10/2024,7/10/2024,7/1/2024,7/31/2024,"1,654.80",MOVE,10411XXXXX00003,Transport Charges,82.74,82.74,
01 Invoice,111111111111111,ABC LTD.,2024/131,7/10/2024,7/10/2024,7/1/2024,7/31/2024,"3,149.00",MOVE,10411XXXXX00003,Transport Charges,157.45,157.45,
01 Invoice,111111111111111,ABC LTD.,2024/139,7/29/2024,7/29/2024,7/1/2024,7/31/2024,"1,117.80",MOVE,10411XXXXX00003,Transport Charges,55.89,55.89,
01 Invoice,111111111111111,ABC LTD.,2024/143,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"2,940.00",MOVE,10411XXXXX00003,"Transportation
 INV# 2024/143
 EBS TO AMDSTC",147,147,
01 Invoice,111111111111111,ABC LTD.,2024/143,7/31/2024,7/31/2024,7/1/2024,7/31/2024,800,MOVE,10411XXXXX00003,"Transportation
 INV# 2024/143
 EBS TO AMDSTC - OVER WIDTH CARGO",40,40,
01 Invoice,111111111111111,ABC LTD.,2024/144,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"1,260.00",MOVE,10411XXXXX00003,"Transportation
 INV# 2024/144
 ZAIN ENG TO AMDSTC
 CDC NEOM PROJECT",63,63,
01 Invoice,111111111111111,ABC LTD.,2024/145,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"1,260.00",MOVE,10411XXXXX00003,"Transportation
 INV# 2024/145
 ASSENT DIC TO AMDSTC (SCRAP)",63,63,
01 Invoice,111111111111111,ABC LTD.,2024/146,7/31/2024,7/31/2024,7/1/2024,7/31/2024,420,MOVE,10411XXXXX00003,"Transportation
 INV# 2024/146
 ASSENT DIC TO AMDSTC (SCRAP)",21,21,
01 Invoice,111111111111111,ABC LTD.,2024/147,7/31/2024,7/31/2024,7/1/2024,7/31/2024,470,MOVE,10411XXXXX00003,"Transportation
 Transportation Charges from JAFZA to AMDSTC - L/P
 INV#2024/147",23.5,23.5,
01 Invoice,111111111111111,ABC LTD.,2024/148,7/31/2024,7/31/2024,7/1/2024,7/31/2024,235,MOVE,10411XXXXX00003,"Transportation
 Transportation Charges from JAFZA to AMDSTC - AMNS 
 INV#2024/148",11.75,11.75,
01 Invoice,111111111111111,ABC LTD.,2024/149,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"1,600.00",MOVE,10411XXXXX00003,"Transportation
 Transportation Charges from AMDSTC TO SAJJA
 Fitting sent for testing 
 LOWBED TRAILER
 INV#2024/149",80,80,
01 Invoice,111111111111111,ABC LTD.,2024/149,7/31/2024,7/31/2024,7/1/2024,7/31/2024,705,MOVE,10411XXXXX00003,"Transportation
 Transportation Charges from AMDSTC TO SAJJA
 Fitting sent for testing 
 INV#2024/149",35.25,35.25,
01 Invoice,111111111111111,ABC LTD.,2024/151,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"1,600.00",MOVE,10411XXXXX00003,"Transportation
 Transportation Charges from SAJJA to AMDSTC 
 Fittings collected from Best Choice Testing centre 
 LOWBED TRAILER",80,80,
01 Invoice,111111111111111,ABC LTD.,2024/312,7/8/2024,7/8/2024,7/1/2024,7/31/2024,"8,400.00",MOVE,10411XXXXX00003,"1200R24/20PR
 GODRIDE 2024 
 8PCS-89261-DXB",420,420,
01 Invoice,111111111111111,ABC LTD.,2175439,7/19/2024,7/19/2024,7/1/2024,7/31/2024,"1,000.00",DIRE,10035XXXXX00003,"Visa Charges (Employees)
 Service charge",50,50,
01 Invoice,111111111111111,ABC LTD.,2175440,7/19/2024,7/19/2024,7/1/2024,7/31/2024,200,DIRE,10035XXXXX00003,Visa Charges (Travel) Service charge,10,10,
01 Invoice,111111111111111,ABC LTD.,2175441,7/19/2024,7/19/2024,7/1/2024,7/31/2024,200,DIRE,10035XXXXX00003,Visa Charges (Travel) Service chargee,10,10,
01 Invoice,111111111111111,ABC LTD.,2175463,7/23/2024,7/23/2024,7/1/2024,7/31/2024,200,DIRE,10035XXXXX00003,"Visa Charges (Travel)
 Service charge",10,10,
01 Invoice,111111111111111,ABC LTD.,2175469,7/23/2024,7/23/2024,7/1/2024,7/31/2024,"1,000.00",DIRE,10035XXXXX00003,"Visa Charges (Employees)
 service charges",50,50,
01 Invoice,111111111111111,ABC LTD.,2180-32-000004279,7/15/2024,7/15/2024,7/1/2024,7/31/2024,"46,000.00",ENSU,10024XXXXX00003,"Prepaid
 Genian NAC Enterprise Edition for 700 devices - 1 year subscription","2,300.00","2,300.00",
01 Invoice,111111111111111,ABC LTD.,2180-32-000004605,7/8/2024,7/8/2024,7/1/2024,7/31/2024,"5,035.00",ENSU,10024XXXXX00003,"IT Expenses
 Stack Cable & Additional SFP for modules",251.75,251.75,
01 Invoice,111111111111111,ABC LTD.,2180-32-000004632,7/17/2024,7/17/2024,7/1/2024,7/31/2024,"8,000.00",ENSU,10024XXXXX00003,"IT Expenses
 Costing for Resident Engineer for ICT support excluding spares for One month
 11 July to 10 August 2024",400,400,
01 Invoice,111111111111111,ABC LTD.,2180-32-000004637,7/18/2024,7/18/2024,7/1/2024,7/31/2024,"5,500.00",ENSU,10024XXXXX00003,"IT Expenses
 Disaster Recovery & Firewall Fine tuning",275,275,
01 Invoice,111111111111111,ABC LTD.,223036,6/30/2024,6/30/2024,7/1/2024,7/31/2024,"7,309.40",ENOC,10022XXXXX00003,Fuel- Heavy Vehicle/Forklift,365.47,365.47,
01 Invoice,111111111111111,ABC LTD.,223273,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"5,238.00",ENOC,10022XXXXX00003,Fuel- Heavy Vehicle/Forklift,261.9,261.9,
01 Invoice,111111111111111,ABC LTD.,23086,7/23/2024,7/23/2024,7/1/2024,7/31/2024,913.6,ASIA,10000XXXXX00003,HEX BOLT M30X125 MM 1 NUT & 2 WASHERS,45.68,45.68,
01 Invoice,111111111111111,ABC LTD.,24/11554,7/4/2024,7/4/2024,7/1/2024,7/31/2024,"2,015.00",INTE,10003XXXXX00003,220976- HYPERTHERM SHIELD,100.75,100.75,
01 Invoice,111111111111111,ABC LTD.,24/11554,7/4/2024,7/4/2024,7/1/2024,7/31/2024,"1,015.00",INTE,10003XXXXX00003,220975- HYPERTHERM NOZZLE,50.75,50.75,
01 Invoice,111111111111111,ABC LTD.,24/11554,7/4/2024,7/4/2024,7/1/2024,7/31/2024,990,INTE,10003XXXXX00003,220971- HYPERTHERM ELECTRODE,49.5,49.5,
01 Invoice,111111111111111,ABC LTD.,24/11555,7/4/2024,7/4/2024,7/1/2024,7/31/2024,"2,760.00",INTE,10003XXXXX00003,220488- HYPERTHERM SWIRL RING,138,138,
01 Invoice,111111111111111,ABC LTD.,24/11555,7/4/2024,7/4/2024,7/1/2024,7/31/2024,"1,358.00",INTE,10003XXXXX00003,"420045- HYPERTHERM SHIELD, 943",67.9,67.9,
01 Invoice,111111111111111,ABC LTD.,24/11555,7/4/2024,7/4/2024,7/1/2024,7/31/2024,938,INTE,10003XXXXX00003,220521- HYPERTHERM WATER TUBE ASSEMBLY,46.9,46.9,
01 Invoice,111111111111111,ABC LTD.,24/11555,7/4/2024,7/4/2024,7/1/2024,7/31/2024,"1,020.00",INTE,10003XXXXX00003,220937- HYPERTHERM ELECTRODE,51,51,
01 Invoice,111111111111111,ABC LTD.,24/11568,7/5/2024,7/5/2024,7/1/2024,7/31/2024,540,INTE,10003XXXXX00003,"E7018-1H4R (Vacuum Packed) -2.5mm- length 350 mm, 2 kg pkt
 60 KGS",27,27,
01 Invoice,111111111111111,ABC LTD.,24/11568,7/5/2024,7/5/2024,7/1/2024,7/31/2024,"1,750.00",INTE,10003XXXXX00003,"E7018-1H4R (Vacuum Packed) -3.2mm- length 350 mm, 2 kg pkt
 200 KGS",87.5,87.5,
01 Invoice,111111111111111,ABC LTD.,24/11568,7/5/2024,7/5/2024,7/1/2024,7/31/2024,700,INTE,10003XXXXX00003,"E7018-1H4R (Vacuum Packed) -4.0mm- length 350 mm, 2 kg pkt
 80 KGS",35,35,
01 Invoice,111111111111111,ABC LTD.,24/11699,7/17/2024,7/17/2024,7/1/2024,7/31/2024,"1,100.00",INTE,10003XXXXX00003,"420044- HYPERTHERM NOZZLE, MAXPRO200",55,55,
01 Invoice,111111111111111,ABC LTD.,24/11699,7/17/2024,7/17/2024,7/1/2024,7/31/2024,402,INTE,10003XXXXX00003,220521- HYPERTHERM WATER TUBE ASSEMBLY,20.1,20.1,
01 Invoice,111111111111111,ABC LTD.,24061555,6/30/2024,6/30/2024,7/1/2024,7/31/2024,"1,050.00",SKY,10035XXXXX00003,"Courier Services
 JUNE 2024",52.5,52.5,
01 Invoice,111111111111111,ABC LTD.,24071538,7/31/2024,7/31/2024,7/1/2024,7/31/2024,615,SKY,10035XXXXX00003,Courier Services,30.75,30.75,
01 Invoice,111111111111111,ABC LTD.,24071538,7/31/2024,7/31/2024,7/1/2024,7/31/2024,594,SKY,10035XXXXX00003,Courier Services,29.7,29.7,
01 Invoice,111111111111111,ABC LTD.,24071538,7/31/2024,7/31/2024,7/1/2024,7/31/2024,71.4,SKY,10035XXXXX00003,Courier Services,3.57,3.57,
01 Invoice,111111111111111,ABC LTD.,24071538,7/31/2024,7/31/2024,7/1/2024,7/31/2024,95.8,SKY,10035XXXXX00003,Courier Services,4.79,4.79,
01 Invoice,111111111111111,ABC LTD.,242511468,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"7,000.00",HAWK,10006XXXXX00003,"Security Expenses
 Providing Male Security Guard Services at Jafza , Dubai for the month of July 2024",350,350,
01 Invoice,111111111111111,ABC LTD.,272460,7/4/2024,7/4/2024,7/1/2024,7/31/2024,"1,050.00",ZAKE,10007XXXXX00003,ST-316L – 1.6 mmX1000mm- 5 Kg pkt,52.5,52.5,
01 Invoice,111111111111111,ABC LTD.,272460,7/4/2024,7/4/2024,7/1/2024,7/31/2024,"2,450.00",ZAKE,10007XXXXX00003,ST-316L – 2.4 mmX1000mm- 5 Kg pkt,122.5,122.5,
01 Invoice,111111111111111,ABC LTD.,273124,7/20/2024,7/20/2024,7/1/2024,7/31/2024,"1,000.00",ZAKE,10007XXXXX00003,"4.5"" CUTTING WHEEL - 1MM",50,50,
01 Invoice,111111111111111,ABC LTD.,273182,7/22/2024,7/22/2024,7/1/2024,7/31/2024,"1,300.00",ZAKE,10007XXXXX00003,LIFTING BELT 3 ton X 3 MTR,65,65,
01 Invoice,111111111111111,ABC LTD.,313-1647,7/22/2024,7/22/2024,7/1/2024,7/31/2024,"1,400.00",AL D,10045XXXXX00003,14M SCISSOR LIFT ( INCLUDING MOBILIZATION & DEMOBILIZATION,70,70,
01 Invoice,111111111111111,ABC LTD.,3136,6/29/2024,6/29/2024,7/1/2024,7/31/2024,"3,600.00",FAHA,10036XXXXX00003,"Hire Charges - Car
 Rental charges for Operations Staff transportation
 from accomodation to office vice versa
 date: June 2024
 + additional trip on 09/06/2024 Sunday,15/06/2024 Sat 
 ,18/06/2024 Tuesday Holiday",180,180,
01 Invoice,111111111111111,ABC LTD.,3149,7/29/2024,7/29/2024,7/1/2024,7/31/2024,"5,200.00",FAHA,10036XXXXX00003,"Hire Charges - Car
 Rental charges for Operations Staff transportation
 from accomodation to office vice versa
 date: July 2024
 + additional trip on 14/07/2024 Sunday",260,260,
01 Invoice,111111111111111,ABC LTD.,32130,7/9/2024,7/9/2024,7/1/2024,7/31/2024,150,RICH,10000XXXXX00003,"Business Cards
 RAJANISH BISWAS",7.5,7.5,
01 Invoice,111111111111111,ABC LTD.,32517,7/27/2024,7/27/2024,7/1/2024,7/31/2024,150,RICH,10000XXXXX00003,"Business Cards
 Abhijeet Kumar",7.5,7.5,
01 Invoice,111111111111111,ABC LTD.,6164,7/29/2024,7/29/2024,7/1/2024,7/31/2024,"3,750.00",ALWA,10002XXXXX00003,"RENTAL CHARGE FOR 16M WORKING HEIGHT ARTICULATED DIESEL BOOMLIFT
 FOR TWO WEEKS",187.5,187.5,
01 Invoice,111111111111111,ABC LTD.,6164,7/29/2024,7/29/2024,7/1/2024,7/31/2024,800,ALWA,10002XXXXX00003,DELIVERY AND COLLECTION CHARGES,40,40,
01 Invoice,111111111111111,ABC LTD.,6164,7/29/2024,7/29/2024,7/1/2024,7/31/2024,"1,875.00",ALWA,10002XXXXX00003,"RENTAL CHARGE FOR 16M WORKING HEIGHT ARTICULATED DIESEL BOOMLIFT
 FOR ONE WEEKS",93.75,93.75,
01 Invoice,111111111111111,ABC LTD.,6164,7/29/2024,7/29/2024,7/1/2024,7/31/2024,"1,875.00",ALWA,10002XXXXX00003,"RENTAL CHARGE FOR 16M WORKING HEIGHT ARTICULATED DIESEL BOOMLIFT
 FOR ONE WEEK",93.75,93.75,
01 Invoice,111111111111111,ABC LTD.,652407600127,7/4/2024,7/4/2024,7/1/2024,7/31/2024,262.8,GULF,10022XXXXX00003,"Office Expenses
 Contract base rate charge for this billing period
 Contract overage charge for the 1 Feb 2024 to 29 Feb 2024 overage period",13.14,13.14,
01 Invoice,111111111111111,ABC LTD.,689889,7/15/2024,7/15/2024,7/1/2024,7/31/2024,50,GRAN,10024XXXXX00003,Stationary,2.5,2.5,
01 Invoice,111111111111111,ABC LTD.,690776,7/25/2024,7/25/2024,7/1/2024,7/31/2024,75,GRAN,10024XXXXX00003,"Stationary
 printed stamp for QC/QA",3.75,3.75,
01 Invoice,111111111111111,ABC LTD.,81005262,6/19/2024,6/19/2024,7/1/2024,7/31/2024,"1,424.00",DULS,10051XXXXX00003,"Salaries&Wages - May 2024 (23 May - 31 May 2024)
 Driver cum Store Assistant",71.2,71.2,
01 Invoice,111111111111111,ABC LTD.,81005263,6/19/2024,6/19/2024,7/1/2024,7/31/2024,"1,183.40",DULS,10051XXXXX00003,"Salaries&Wages - May 2024 (27 May - 31 May 2024)
 Draftsman",59.17,59.17,
01 Invoice,111111111111111,ABC LTD.,81005516,7/9/2024,7/9/2024,7/1/2024,7/31/2024,"3,916.00",DULS,10051XXXXX00003,"Salaries&Wages - June 2024
 Driver cum Store Assistant",195.8,195.8,
01 Invoice,111111111111111,ABC LTD.,81005517,7/9/2024,7/9/2024,7/1/2024,7/31/2024,"7,100.00",DULS,10051XXXXX00003,"Salaries&Wages - June 2024
 Draftsman",355,355,
01 Invoice,111111111111111,ABC LTD.,91466,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"13,260.00",DOUB,10023XXXXX00003,ACETYLENE 210 CFT,663,663,
01 Invoice,111111111111111,ABC LTD.,91466,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"2,940.00",DOUB,10023XXXXX00003,OXYGEN 40 LTRS,147,147,
01 Invoice,111111111111111,ABC LTD.,91466,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"6,084.00",DOUB,10023XXXXX00003,ARGON MIX 40LTR,304.2,304.2,
01 Invoice,111111111111111,ABC LTD.,91466,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"2,028.00",DOUB,10023XXXXX00003,ARGON GAS 40 LTR,101.4,101.4,
01 Invoice,111111111111111,ABC LTD.,91466,7/31/2024,7/31/2024,7/1/2024,7/31/2024,220,DOUB,10023XXXXX00003,ARGON MIX 50LTR,11,11,
01 Invoice,111111111111111,ABC LTD.,91466,7/31/2024,7/31/2024,7/1/2024,7/31/2024,110,DOUB,10023XXXXX00003,ARGON 50LTR,5.5,5.5,
01 Invoice,111111111111111,ABC LTD.,91466,7/31/2024,7/31/2024,7/1/2024,7/31/2024,840,DOUB,10023XXXXX00003,CO2 GAS 40 LTR,42,42,
01 Invoice,111111111111111,ABC LTD.,92010653,7/15/2024,7/15/2024,7/1/2024,7/31/2024,"97,648.60",STEE,10003XXXXX00003,"ERW Black Plain End Pipes
 BPE - 141MM X 6.35MM X 12M - 140PCS
 GRADE B ASTM A53
 MTC will be issued complying to chemical and mechanical properties equivalent to Grade S275JR
 Marking : Dia x Thick x Length / Grade / Heat Number / Orgin
 Invoicing Per pc Basis
 Payment - 90 days from date of invoice
 LAST DATE OF DELIVERY 15.07.2024
 LIABILITY – CLAIMS 
 LD of 0.5% per week only on the value of delayed materials, with a maximum of 10% of total amount of delayed materials.
 the LD is based on readines of material at Conares with a grace period of 1 week.","4,882.43","4,882.43",
01 Invoice,111111111111111,ABC LTD.,9728-PJIN-003722,7/12/2024,7/12/2024,7/1/2024,7/31/2024,"4,402.00",A G,10024XXXXX00003,"Office Cleaning&Maintenance
 PROVIDED 9 JANITORS FOR PART TIME CLEANING SERVICES
 SERVICE PERIOD FROM 01/06/2024 TO 30/06/2024",220.1,220.1,
01 Invoice,111111111111111,ABC LTD.,9728-PJIN-003724,7/12/2024,7/12/2024,7/1/2024,7/31/2024,"3,100.00",A G,10024XXXXX00003,"TEMPORARY STAFF
 Providing temporary Office Boy
 01/06/2024 TO 30/06/2024
 Ishwor Bishwakarma",155,155,
01 Invoice,111111111111111,ABC LTD.,ADN1/24/07/2888,7/6/2024,7/6/2024,7/1/2024,7/31/2024,"182,796.00",AL A,10030XXXXX00003,"Prepaid
 POLICY TYPE:PROPERTY ALL RISK
 POLICY NO.P/101/1/2024/FN/AR/14830
 POLICY PERIOD FROM:01/06/2024 TO 01/06/2025","9,139.80","9,139.80",
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2177,7/25/2024,7/25/2024,7/1/2024,7/31/2024,"6,260.00",AL I,10020XXXXX00003,"AC maintenance 
 Logistics Area:
 Ducted Split AC 5 ton defective Comptressor removing & fixing new compressor(410 gas) with dryer & filter changing capacitor vacuumizing the system commsissioning &gas charging.
 Office & Hall Room Electrical room:
 Ducted split AC 5 ton defective indoor unit fan motor removing rewinding bush changing & reinstalling.
 Ducted Split AC defective 3 phase contractor removing fixing &new
 Supply of Rheem brand thermostat (24 & 220V) for Ducted Split AC.",313,313,
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2191,7/29/2024,7/29/2024,7/1/2024,7/31/2024,"2,575.00",AL I,10020XXXXX00003,"AC maintenance
 AMI Section: -Supply with Installation of Bompani 1.5-ton Split AC with copper piping up to 5m, electrical power supply, drainage fixing, gas charging & Commissioning.
 (Compressor have 5-years warranty).",128.75,128.75,
01 Invoice,111111111111111,ABC LTD.,AIK/INV/2191,7/29/2024,7/29/2024,7/1/2024,7/31/2024,250,AL I,10020XXXXX00003,"AC maintenance
 Charge for additional copper pipe (7m)",12.5,12.5,
01 Invoice,111111111111111,ABC LTD.,BINLAL-1035-24,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"13,175.00",BINL,10414XXXXX00003,"Temporary Staff Cost
 MULTI WELDERS",658.75,658.75,
01 Invoice,111111111111111,ABC LTD.,BINLAL-1035-24,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"3,150.00",BINL,10414XXXXX00003,"Temporary Staff Cost
 FABRICATOR",157.5,157.5,
01 Invoice,111111111111111,ABC LTD.,BINLAL-1035-24,7/31/2024,7/31/2024,7/1/2024,7/31/2024,"14,598.00",BINL,10414XXXXX00003,"Temporary Staff Cost
 PIPE FABRICATOR",729.9,729.9,
