Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),VAT Amount AED,Customer Name,Customer TRN,Clear description of the supply,Reason of Out-of-Scope Sales treatment
01 Invoice,1.11E+14,ABC LTD.,IN5H0000480,7/12/2024,7/1/2024,7/31/2024,"96,876.00",0,EMPO,10038XXXXX00003,CSP 0914.40X12.70 MMX12.000 M/ELLIPS,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000481,7/12/2024,7/1/2024,7/31/2024,"96,876.00",0,EMPO,10038XXXXX00003,CSP 0914.40X12.70 MMX12.000 M/ELLIPS,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000482,7/12/2024,7/1/2024,7/31/2024,"96,876.00",0,EMPO,10038XXXXX00003,CSP 0914.40X12.70 MMX12.000 M/ELLIPS,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011980,7/15/2024,7/1/2024,7/31/2024,"44,489.45",0,DIST,10035XXXXX00003,SP 323.90X21.44 MM(12.00 INCH)X09.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"19,583.68",0,ARCE,XXXXX,UB 254X146X031.10 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"11,337.92",0,ARCE,XXXXX,UB 254X146X031.10 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"61,843.20",0,ARCE,XXXXX,UB 254X146X031.10 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"4,566.42",0,ARCE,XXXXX,UC 152X152X023.00 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"3,044.28",0,ARCE,XXXXX,UC 152X152X023.00 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"4,566.42",0,ARCE,XXXXX,UC 152X152X023.00 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"85,431.06",0,ARCE,XXXXX,UB 356X127X033.10 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"76,465.61",0,ARCE,XXXXX,UB 762X267X173.00 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"75,440.73",0,ARCE,XXXXX,UB 762X267X134.00 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20011988,7/16/2024,7/1/2024,7/31/2024,"157,850.35",0,ARCE,XXXXX,UB 457X191X067.10 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012031,7/18/2024,7/1/2024,7/31/2024,"443,102.48",0,ARCE,XXXXX,GRATING - 32MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012031,7/18/2024,7/1/2024,7/31/2024,"80,548.69",0,ARCE,XXXXX,TREADS,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000522,7/18/2024,7/1/2024,7/31/2024,"96,264.00",0,EMPO,10038XXXXX00003,CSP 1219.20X12.70 MMX12.000 M/ELLIPS,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000522,7/18/2024,7/1/2024,7/31/2024,8022,0,EMPO,10038XXXXX00003,CSP 1219.20X12.70 MMX06.000 M/ELLIPS,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000523,7/20/2024,7/1/2024,7/31/2024,"72,873.67",0,ARCE,10030XXXXX00003,CSP 2032.00X20.62 MMX11.00 M/PETROJET,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000539,7/23/2024,7/1/2024,7/31/2024,255326.16,0,ALBA,31057XXXXX00003,CSP 0925.00X21.00 MM /22.00 M/ALBAWARDI,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000530,7/23/2024,7/1/2024,7/31/2024,"8,572.50",0,AL A,10032XXXXX00003,PLASTIC SCRAP,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000530,7/23/2024,7/1/2024,7/31/2024,550.5,0,AL A,10032XXXXX00003,CARTON / PAPER SCRAP,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012019,7/24/2024,7/1/2024,7/31/2024,10942.39,0,DIST,10035XXXXX00003,SP 323.90X21.44 MM(12.00 INCH)X09.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012019,7/24/2024,7/1/2024,7/31/2024,"11,117.22",0,DIST,10035XXXXX00003,SP 323.90X21.44 MM(12.00 INCH)X09.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012019,7/24/2024,7/1/2024,7/31/2024,"10,962.96",0,DIST,10035XXXXX00003,SP 323.90X21.44 MM(12.00 INCH)X09.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012019,7/24/2024,7/1/2024,7/31/2024,"10,911.54",0,DIST,10035XXXXX00003,SP 323.90X21.44 MM(12.00 INCH)X09.00-11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012027,7/24/2024,7/1/2024,7/31/2024,"380,645.34",0,HEAV,XXXXX,AZ19-(0700X421X09.50 MMX080.00 KG/M)X06.20 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012033,7/24/2024,7/1/2024,7/31/2024,"6,862,875.65",0,SIXC,31152XXXXX00003,HZ-1180MD COMB 24(460X945.60X40.00 MMX948.58 KG/M)X47.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012033,7/24/2024,7/1/2024,7/31/2024,"333,838.08",0,SIXC,31152XXXXX00003,Testing Charges,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012003,7/24/2024,7/1/2024,7/31/2024,"1,328.56",0,MCDE,10003XXXXX00003,MS PLATE 1.219X06.00X03.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012003,7/24/2024,7/1/2024,7/31/2024,"2,127.70",0,MCDE,10003XXXXX00003,MS PLATE 2.00X06.00X06.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012003,7/24/2024,7/1/2024,7/31/2024,"2,767.60",0,MCDE,10003XXXXX00003,MS PLATE 2.00X06.00X08.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012002,7/24/2024,7/1/2024,7/31/2024,"3,906.04",0,3C M,10038XXXXX00003,HEB 200X061.30 KG/MX11.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000532,7/24/2024,7/1/2024,7/31/2024,"4,042.50",0,AL A,10032XXXXX00003,PLASTIC SCRAP,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012012,7/25/2024,7/1/2024,7/31/2024,"470,400.00",0,Q ST,10053XXXXX00003,PLATE 1.50X03.00X06.50 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012028,7/25/2024,7/1/2024,7/31/2024,"461,414.43",0,HEAV,XXXXX,AZ13-(10/10)-(0700X316X09.50 MMX077.20 KG/M)X07.80 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012028,7/25/2024,7/1/2024,7/31/2024,"5,531.44",0,HEAV,XXXXX,AZ13-(10/10)-(0700X316X09.50 MMX077.20 KG/M)X07.20 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000552,7/25/2024,7/1/2024,7/31/2024,"15,982.94",0,BRAN,XXXXX,CS TWO PIECE BEND DN2000 04.00 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000552,7/25/2024,7/1/2024,7/31/2024,"15,982.94",0,BRAN,XXXXX,CS TWO PIECE BEND DN2000 04.22 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000552,7/25/2024,7/1/2024,7/31/2024,"15,982.94",0,BRAN,XXXXX,CS TWO PIECE BEND DN2000 04.27 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000552,7/25/2024,7/1/2024,7/31/2024,"15,982.94",0,BRAN,XXXXX,CS TWO PIECE BEND DN2000 04.32 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000531,7/25/2024,7/1/2024,7/31/2024,"22,088.00",0,ARAB,10001XXXXX00003,Steel from pipe edge trimming (chips),Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000545,7/25/2024,7/1/2024,7/31/2024,3015,0,PROS,10020XXXXX00003,CSP 0711.20X09.53 MMX01.650 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000557,7/25/2024,7/1/2024,7/31/2024,76006.28,0,ARCE,10030XXXXX00003,CSP 1219.20X12.70 MMX12.00 M/PETROJET,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012029,7/26/2024,7/1/2024,7/31/2024,4945.57,0,ARCE,XXXXX,PLATE(QUARD) 2.00X06.00X06.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012029,7/26/2024,7/1/2024,7/31/2024,65999.6,0,ARCE,XXXXX,PLATE(QUARD) 2.00X06.00X08.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012029,7/26/2024,7/1/2024,7/31/2024,49455.9,0,ARCE,XXXXX,PLATE(QUARD) 2.00X06.00X12.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012029,7/26/2024,7/1/2024,7/31/2024,"105,564.40",0,ARCE,XXXXX,PLATE(QUARD) 2.00X06.00X16.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012029,7/26/2024,7/1/2024,7/31/2024,16488.94,0,ARCE,XXXXX,PLATE(QUARD) 2.00X06.00X20.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,TI20000260,7/26/2024,7/1/2024,7/31/2024,"128,701.64",0,DRY,10004XXXXX00003,HR PLATE 2.15X06.25X141.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN70001708,7/26/2024,7/1/2024,7/31/2024,"29,005.08",0,ARCE,10030XXXXX00003,HR PLATE 1854X0660X15.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN70001709,7/26/2024,7/1/2024,7/31/2024,"102,717.43",0,ARCE,10030XXXXX00003,HR PLATE 2.00X06.00X40.00 MM,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012034,7/27/2024,7/1/2024,7/31/2024,"4,973,251.44",0,SIXC,31152XXXXX00003,HZ-1180MD COMB 14(460X945.60X40.00 MMX484.34 KG/M)X33.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012034,7/27/2024,7/1/2024,7/31/2024,"663,692.43",0,SIXC,31152XXXXX00003,HZ-1180MD COMB 14(460X945.60X40.00 MMX484.34 KG/M)X32.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012034,7/27/2024,7/1/2024,7/31/2024,"678,034.44",0,SIXC,31152XXXXX00003,AZ42-(1400X499X18.00 MMX284.20 KG/M)X34.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012034,7/27/2024,7/1/2024,7/31/2024,"18,893.17",0,SIXC,31152XXXXX00003,Charges for Buttwelding,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012035,7/27/2024,7/1/2024,7/31/2024,"127,232.64",0,SIXC,31152XXXXX00003,Inspection Expenses,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012035,7/27/2024,7/1/2024,7/31/2024,"5,878,066.10",0,SIXC,31152XXXXX00003,HZ-1180MD COMB 14(460X945.60X40.00 MMX484.34 KG/M)X33.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012035,7/27/2024,7/1/2024,7/31/2024,"3,470,685.22",0,SIXC,31152XXXXX00003,HZ-1180MD COMB 14(460X945.60X40.00 MMX484.34 KG/M)X33.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012035,7/27/2024,7/1/2024,7/31/2024,"812,513.08",0,SIXC,31152XXXXX00003,HZ-1180MD COMB 14(460X945.60X40.00 MMX484.34 KG/M)X33.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012035,7/27/2024,7/1/2024,7/31/2024,"814,507.66",0,SIXC,31152XXXXX00003,HZ-1180MD COMB 14(460X945.60X40.00 MMX484.34 KG/M)X33.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN20012035,7/27/2024,7/1/2024,7/31/2024,"4,849,957.60",0,SIXC,31152XXXXX00003,HZ-1180MD COMB 14(460X945.60X40.00 MMX484.34 KG/M)X32.00 M,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000543,7/28/2024,7/1/2024,7/31/2024,"14,214.34",0,AL R,30005XXXXX10003,CS TWO PIECE BEND DN1000 18.88 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000543,7/28/2024,7/1/2024,7/31/2024,"14,214.34",0,AL R,30005XXXXX10003,CS TWO PIECE BEND DN1000 15.19 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000543,7/28/2024,7/1/2024,7/31/2024,"14,214.34",0,AL R,30005XXXXX10003,CS TWO PIECE BEND DN1000 18.24 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000543,7/28/2024,7/1/2024,7/31/2024,"28,428.68",0,AL R,30005XXXXX10003,CS THREE PIECE BEND DN1000 25.28 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000543,7/28/2024,7/1/2024,7/31/2024,"14,214.34",0,AL R,30005XXXXX10003,CS TWO PIECE BEND DN1000 17.76 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000543,7/28/2024,7/1/2024,7/31/2024,"14,214.34",0,AL R,30005XXXXX10003,CS TWO PIECE BEND DN1000 20.90 DEG,Goods - OOS - FZ
01 Invoice,1.11E+14,ABC LTD.,IN5H0000543,7/28/2024,7/1/2024,7/31/2024,"14,214.34",0,AL R,30005XXXXX10003,CS TWO PIECE BEND DN1000 13.13 DEG,Goods - OOS - FZ
